Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-08-01	100.00	76.52	23.48	6.68	12.37	-0.03	4.46	-0.39	4.07	5.34	3.85	0.62	2.38	1.37	3.28	2.95	?	10.81	23.53	-7.83	5.15	-12.90	?	-37.57	-16.35	19.59	?	-34.03	-13.94	20.83	?	-35.31	-17.35	6.82	121.51	21.82	3.54	0.92	16.12	9.92	9.64	0.87	36.54	58.50	3.25	1.71	100.00	9.40	1.84	?	?	0.99	12.22	12.74	2.01	26.97	73.03	100.00	2.99	2.13	1.37	0.17	58.64	65.95	75.68	48.91	6.22	5.53	1.04	0.62
2006-08-01	100.00	77.24	22.78	8.73	12.44	-5.03	6.64	1.57	8.21	4.16	7.74	0.52	4.03	1.51	5.84	4.27	?	8.03	19.48	6.02	3.73	60.92	?	?	-9.45	117.02	?	?	-3.68	96.55	?	?	-8.46	63.11	278.03	25.89	12.41	1.60	25.19	7.82	7.88	0.84	41.74	48.18	7.28	2.80	100.00	6.99	1.36	?	3.80	1.44	13.59	3.31	16.70	33.61	66.39	100.00	3.07	2.43	1.51	0.05	55.44	77.74	72.00	61.17	6.58	4.70	1.00	0.52
2007-08-01	100.00	81.05	18.95	10.72	14.15	-1.00	-4.92	1.97	-2.95	?	-5.63	0.42	-2.37	1.91	-4.03	-4.29	?	7.89	8.90	17.05	4.93	?	?	?	?	?	?	?	?	?	?	?	?	-53.59	?	63.34	-46.87	8.33	17.65	6.71	10.34	0.62	35.32	55.87	6.18	2.63	100.00	5.78	2.85	?	3.00	2.04	13.67	13.41	20.60	47.69	52.31	100.00	2.58	1.78	1.91	0.26	49.60	98.77	67.70	80.68	7.36	3.70	0.80	0.42
2008-08-01	100.00	100.94	-0.94	7.79	11.64	6.93	-27.31	-0.27	-27.58	?	-27.72	0.41	-11.46	2.17	-23.24	-16.95	?	2.69	6.17	13.57	6.85	?	?	?	?	?	?	?	?	?	?	?	?	8.64	?	43.30	-25.87	0.93	10.14	7.68	9.61	0.70	28.14	65.61	3.14	3.11	100.00	4.45	2.05	?	3.83	1.58	11.90	18.25	23.85	54.00	46.00	100.00	2.36	1.50	2.17	0.40	46.24	87.38	44.98	88.65	7.89	4.18	0.68	0.41
2009-08-01	100.00	109.14	-9.14	7.37	13.47	4.89	-34.87	-2.69	-37.56	?	-38.21	0.39	-14.75	2.46	-33.88	-20.68	-12.36	-17.77	-3.06	1.75	2.47	?	?	?	?	?	?	?	?	?	?	?	?	18.47	?	10.16	14.95	-0.39	12.96	6.97	8.62	0.65	29.19	61.82	3.00	5.99	100.00	4.59	3.70	0.28	3.46	4.49	16.52	23.34	19.51	59.37	40.63	100.00	1.77	1.21	2.46	0.57	58.48	79.31	39.10	98.69	6.24	4.60	0.60	0.39
2010-08-01	100.00	68.00	32.00	6.22	7.36	-0.32	18.73	3.90	22.64	?	21.81	0.65	14.15	1.83	29.19	22.17	11.79	76.60	14.25	11.69	1.46	?	?	48.84	-3.60	?	?	57.98	2.09	?	?	44.86	-3.20	156.72	245.40	7.26	29.24	1.34	19.83	10.42	12.05	0.81	43.10	44.93	2.20	9.77	100.00	5.44	4.85	0.35	3.16	4.59	18.39	11.22	15.81	45.42	54.58	100.00	2.34	1.64	1.83	0.21	50.11	87.23	41.92	95.42	7.28	4.18	1.24	0.65
2011-08-01	100.00	80.00	20.00	6.74	9.00	-4.32	8.59	-2.32	6.27	36.84	1.90	0.60	1.13	1.74	2.03	2.21	5.44	3.61	14.59	10.76	8.36	-52.49	?	16.62	?	-90.97	?	-16.36	?	-90.81	?	-21.49	?	-19.77	?	29.02	-0.75	-0.40	14.64	10.15	14.10	0.64	39.53	51.21	2.81	6.45	100.00	?	0.95	?	?	15.86	16.81	12.62	13.16	42.58	57.42	100.00	2.35	1.47	1.74	0.22	54.74	99.95	?	?	6.67	3.65	1.24	0.60
2012-08-01	100.00	88.24	11.76	7.53	11.15	0.58	-7.51	-1.65	-9.16	?	-12.53	0.57	-7.10	1.86	-12.76	-8.07	-3.21	-6.30	19.68	7.68	12.27	?	?	?	?	?	?	?	?	?	?	?	?	-14.90	?	20.63	5.04	-0.40	17.86	9.00	12.65	0.68	40.19	49.57	2.59	7.65	100.00	5.71	1.56	0.17	2.02	6.18	15.65	21.20	9.40	46.26	53.74	100.00	2.57	1.72	1.86	0.39	45.17	97.76	41.09	101.83	8.08	3.73	1.12	0.57
2013-08-01	100.00	79.64	20.36	6.19	10.26	1.30	2.60	11.56	14.16	0.62	13.12	0.54	7.12	2.09	14.13	10.76	6.56	10.19	2.27	9.21	11.37	?	-47.04	?	?	?	-13.68	?	?	?	-15.15	?	?	-14.33	36.63	13.71	6.25	0.48	16.22	12.18	13.86	4.35	46.61	39.89	2.02	11.48	100.00	5.48	8.29	0.25	1.40	6.16	21.58	23.29	7.32	52.18	47.82	100.00	2.16	1.32	2.09	0.49	60.38	112.67	47.13	125.92	6.04	3.24	1.23	0.54
2014-08-01	100.00	66.76	33.24	4.32	8.38	1.66	18.87	-2.16	16.71	4.68	18.61	0.79	14.63	2.09	30.58	20.64	8.76	80.29	23.01	27.77	14.02	1208.05	59.91	?	28.59	155.88	163.20	?	34.50	124.78	146.30	?	26.61	214.69	436.33	16.25	18.59	1.00	20.15	12.92	10.91	1.56	45.54	38.59	2.08	13.79	100.00	4.97	7.28	0.32	3.28	5.54	21.38	22.02	8.72	52.12	47.88	100.00	2.13	1.55	2.09	0.46	51.24	85.29	36.21	100.32	7.12	4.28	2.01	0.79
