Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-06-01	100.00	27.74	72.26	5.89	19.63	?	46.74	1.69	48.43	33.20	32.35	0.60	19.48	1.16	23.03	22.23	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.92	33.89	1.05	49.09	6.40	5.59	4.63	65.70	33.34	?	0.96	100.00	1.87	?	?	5.84	1.78	9.49	?	4.48	13.98	86.02	100.00	6.92	5.85	1.16	?	42.52	112.40	59.09	95.83	8.58	3.25	1.72	0.60
2006-06-01	100.00	34.39	65.61	9.63	27.69	?	28.30	2.50	30.80	32.49	20.88	0.59	12.33	1.18	14.47	13.30	?	11.08	17.21	3.33	15.98	-32.75	5.54	3.37	10.95	-28.31	7.79	2.97	12.13	-27.85	7.80	4.16	10.11	-11.44	-26.25	10.84	22.51	1.08	40.85	9.05	6.42	6.12	62.44	35.43	?	2.13	100.00	3.87	?	?	7.97	3.21	15.04	?	0.51	15.55	84.45	100.00	4.15	3.32	1.18	?	48.12	108.23	52.40	103.95	7.59	3.37	1.71	0.59
2007-06-01	100.00	39.45	60.55	10.18	32.83	?	17.54	3.05	20.59	30.81	14.25	0.58	8.30	1.15	9.69	8.26	?	8.20	11.76	14.41	16.57	-32.94	-16.53	0.41	5.88	-26.17	-11.98	2.00	7.65	-23.68	-10.16	3.57	6.35	-0.41	-48.60	20.00	10.69	0.75	36.03	6.79	7.28	7.31	57.41	39.68	?	2.91	100.00	2.60	?	?	7.41	2.60	12.61	?	0.55	13.17	86.83	100.00	4.55	3.39	1.15	?	49.26	109.04	50.85	107.45	7.41	3.35	1.55	0.58
2008-06-01	100.00	39.67	60.33	11.43	28.14	?	20.75	2.76	23.52	34.19	15.48	0.56	8.69	1.18	10.12	8.93	?	2.17	7.08	12.22	13.87	20.90	-18.30	-0.96	5.27	11.00	-16.25	0.52	5.96	12.64	-14.72	1.49	5.21	-15.75	41.31	10.52	14.79	0.96	32.85	7.34	7.35	7.66	55.19	40.05	1.66	3.10	100.00	2.15	?	?	8.55	0.60	11.30	?	3.81	15.12	84.88	100.00	4.88	3.56	1.18	?	45.97	119.92	38.87	127.02	7.94	3.04	1.41	0.56
2009-06-01	100.00	48.43	51.57	12.38	31.93	6.21	1.06	1.05	2.10	69.80	0.64	0.48	0.31	1.19	0.36	-0.03	?	-19.82	-3.94	2.72	10.49	-95.92	-67.90	-50.85	-24.18	-96.71	-70.01	-52.22	-25.41	-96.94	-70.26	-52.18	-26.42	-14.18	2.24	8.23	18.86	29.69	29.64	6.74	7.07	7.98	51.43	44.33	3.34	0.90	100.00	2.27	?	0.07	5.83	0.54	8.72	4.05	3.04	15.81	84.19	100.00	5.90	4.17	1.19	0.05	53.20	112.24	34.29	131.16	6.86	3.25	1.15	0.48
2010-06-01	100.00	40.28	59.72	12.12	23.76	9.22	14.62	0.40	15.02	58.30	6.26	0.61	3.81	1.48	5.06	4.66	?	21.36	-0.19	3.63	8.73	1580.57	-6.07	-17.87	-2.74	1096.93	-24.10	-25.38	-7.76	?	-22.82	-24.02	-7.58	10.13	18.26	6.20	18.37	2.93	23.73	12.15	5.92	7.21	49.01	38.03	12.09	0.87	100.00	3.10	?	0.37	6.11	5.71	15.29	8.61	8.52	32.43	67.57	100.00	3.20	2.35	1.48	0.13	49.99	96.15	40.35	105.79	7.30	3.80	1.48	0.61
2011-06-01	100.00	38.12	61.88	11.83	21.25	1.58	27.22	-0.46	26.76	26.09	19.78	0.71	13.95	1.41	20.11	17.90	?	23.77	6.40	5.89	4.60	130.45	16.46	5.07	4.22	290.77	15.46	4.75	3.86	302.50	18.00	7.15	5.64	75.47	86.95	7.09	27.76	1.40	28.71	8.45	6.74	5.07	48.98	37.10	13.31	0.61	100.00	3.12	?	0.11	7.47	1.05	11.75	8.50	8.58	28.83	71.17	100.00	4.17	3.16	1.41	0.12	47.02	85.98	42.21	90.79	7.76	4.25	1.88	0.71
2012-06-01	100.00	39.64	60.36	13.37	22.98	1.76	22.25	-0.09	22.16	33.38	16.09	0.66	10.65	1.47	15.32	13.02	259.11	-2.78	13.45	3.65	8.90	-20.54	213.37	8.70	4.47	-20.92	233.19	6.20	4.08	-19.88	250.34	8.20	5.86	-12.16	-28.25	11.00	20.49	1.27	25.59	8.49	6.48	4.91	45.46	36.21	16.91	1.42	100.00	3.93	8.12	0.60	6.85	0.70	20.21	0.15	11.74	32.09	67.91	100.00	2.25	1.69	1.47	?	46.70	91.97	49.28	89.39	7.82	3.97	1.81	0.66
2013-06-01	100.00	38.70	61.30	13.28	21.91	2.01	24.10	-0.74	23.36	20.69	18.63	0.64	11.86	1.57	18.03	15.52	?	1.58	6.92	3.53	7.79	10.01	26.29	6.67	2.78	17.63	53.76	7.44	3.92	17.83	56.05	9.18	5.26	8.09	22.12	8.87	24.63	1.32	30.49	7.25	7.00	4.54	49.29	34.89	14.71	1.11	100.00	2.68	0.05	0.57	6.32	0.67	10.29	12.79	13.20	36.28	63.72	100.00	4.79	3.67	1.57	0.20	45.07	100.01	48.75	96.33	8.10	3.65	1.79	0.64
2014-06-01	100.00	43.56	56.44	13.23	22.75	3.24	17.21	-0.53	16.68	13.30	14.46	0.59	8.51	1.81	14.37	11.01	?	0.50	-0.25	8.31	5.48	-28.22	-14.39	89.29	-3.55	-22.00	-10.14	102.36	-1.67	-19.08	-8.58	110.16	0.25	-5.11	7.04	5.40	26.23	1.81	31.15	6.71	6.57	2.93	47.36	30.22	21.74	0.68	100.00	2.32	?	0.46	5.69	0.58	9.05	22.72	13.08	44.85	55.15	100.00	5.23	4.18	1.81	0.41	43.23	96.45	35.41	104.28	8.44	3.78	1.81	0.59
