Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	68.09	31.91	27.22	4.54	-0.29	0.44	0.78	1.22	?	6.16	2.21	13.63	1.61	21.97	19.18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	4.49	19.40	3.15	58.20	?	?	8.62	66.82	11.03	0.13	22.02	100.00	17.41	?	?	7.01	13.31	37.73	?	0.23	37.96	62.04	100.00	1.77	1.54	1.61	?	?	?	44.50	?	?	?	23.15	2.21
2006-12-01	100.00	62.91	37.09	26.26	4.85	-0.48	6.46	1.60	8.06	38.89	4.92	2.05	10.08	1.47	15.33	12.29	?	46.09	54.12	67.36	?	2055.04	143.31	?	?	16.79	96.07	?	?	10.94	92.20	?	?	52.08	-61.91	19.81	5.06	1.03	65.78	?	?	4.60	70.37	9.12	17.39	3.12	100.00	15.42	?	?	4.91	11.45	31.78	?	0.18	31.96	68.04	100.00	2.21	2.07	1.47	?	?	?	45.80	?	?	?	20.83	2.05
2007-12-01	100.00	65.22	34.78	22.47	5.92	-1.18	7.56	1.69	9.25	39.95	5.55	1.92	10.66	1.50	15.85	12.96	?	20.94	33.53	51.15	?	41.52	67.63	?	?	36.41	45.82	?	?	36.62	43.25	?	?	17.74	389.96	3.72	20.49	3.69	59.53	?	?	4.85	64.38	11.95	20.47	3.20	100.00	16.14	?	?	5.64	11.08	32.85	?	0.57	33.43	66.57	100.00	1.96	1.81	1.50	?	?	?	46.04	?	?	?	18.15	1.92
2008-12-01	100.00	66.70	33.30	18.27	6.59	-0.46	8.90	0.73	9.64	36.86	6.08	2.16	13.13	1.78	21.35	17.92	?	13.22	26.00	38.04	?	33.29	243.84	93.56	?	24.01	25.48	66.38	?	36.08	27.29	67.54	?	-2.67	-69.10	15.22	5.59	0.92	48.11	?	?	10.39	58.49	20.22	?	21.29	100.00	16.24	0.19	?	5.08	13.45	34.96	?	8.86	43.82	56.18	100.00	1.67	1.38	1.78	0.11	?	?	41.06	?	?	?	13.49	2.16
2009-12-01	100.00	64.62	35.38	17.31	6.86	-0.27	11.49	0.02	11.51	39.72	6.94	2.57	17.86	3.41	42.42	28.10	30.68	22.39	18.78	26.97	?	57.97	43.90	58.23	?	39.55	33.15	39.93	?	50.00	40.76	43.10	?	14.44	265.40	2.76	16.70	2.41	47.11	?	5.49	7.86	60.47	19.37	16.01	4.16	100.00	13.46	?	?	4.91	14.93	33.30	29.42	7.98	70.70	29.30	100.00	1.82	1.41	3.41	1.19	?	12.62	32.44	?	?	28.91	13.02	2.57
2010-12-01	100.00	62.76	37.24	16.85	7.55	-0.28	13.12	-0.74	12.38	39.91	7.44	2.60	19.36	3.38	65.75	35.38	14.64	29.48	21.51	25.95	50.66	47.78	45.99	148.57	?	38.83	33.93	30.79	?	49.49	45.05	35.84	?	-14.97	-57.64	7.32	5.46	0.73	35.68	?	18.43	11.16	65.27	13.09	18.59	3.05	100.00	22.69	?	?	3.72	13.16	39.57	20.37	10.52	70.45	29.55	100.00	1.65	0.90	3.38	0.81	?	29.36	42.26	?	?	12.43	16.62	2.60
2011-12-01	100.00	63.66	36.34	16.53	8.08	?	11.74	-0.52	11.22	37.10	7.06	1.58	11.16	4.77	48.47	30.10	18.95	48.18	32.92	26.31	45.39	32.59	45.73	42.32	?	40.58	39.65	35.73	?	40.54	46.61	42.42	?	14.95	54.77	4.21	5.71	0.81	25.99	?	29.97	3.69	59.65	4.44	34.11	1.79	100.00	32.99	?	?	1.77	5.16	39.91	13.03	26.11	79.06	20.94	100.00	1.49	0.65	4.77	0.62	?	98.48	110.52	?	?	3.71	24.19	1.58
2012-12-01	100.00	72.75	27.25	16.75	9.12	?	1.39	-0.54	0.84	43.73	0.48	1.03	0.49	5.33	2.47	2.73	2.53	12.63	29.28	24.53	37.19	-86.71	-36.14	-11.32	?	-92.41	-47.10	-23.84	?	-93.03	-47.29	-21.45	?	-92.83	?	2.49	-1.86	-3.90	18.85	?	34.48	3.14	56.47	3.32	37.95	2.25	100.00	2.18	?	?	1.34	38.72	42.24	10.08	28.91	81.23	18.77	100.00	1.34	0.45	5.33	0.54	?	159.01	76.38	?	?	2.30	26.93	1.03
2013-12-01	100.00	70.48	29.52	15.64	8.66	?	5.22	-1.31	3.91	34.30	2.57	0.93	2.40	4.06	10.82	8.83	6.87	21.20	26.47	26.24	32.01	356.77	-6.97	13.45	48.19	555.33	-11.26	6.25	32.96	537.93	-14.50	6.98	33.88	329.74	?	2.74	-0.51	-0.20	22.18	?	31.53	2.81	56.51	2.47	38.63	2.39	100.00	2.00	?	?	1.00	36.80	39.80	9.24	26.32	75.36	24.64	100.00	1.42	0.56	4.06	0.37	?	181.99	11.54	?	?	2.01	32.98	0.93
2014-12-01	100.00	68.17	31.83	15.93	8.58	?	7.31	-0.97	6.35	23.63	4.85	0.88	4.28	3.80	16.72	13.39	7.56	25.83	19.76	26.94	26.95	76.33	2.30	15.97	35.46	137.36	5.67	18.15	28.58	133.51	1.27	16.89	29.33	-83.15	?	2.63	-2.33	-0.48	22.79	?	30.12	2.92	55.84	2.12	39.30	2.73	100.00	2.86	?	?	0.99	33.89	37.74	12.75	23.18	73.67	26.33	100.00	1.48	0.60	3.80	0.48	?	186.36	15.08	?	?	1.96	38.84	0.88
2015-12-01	100.00	67.64	32.36	18.28	9.25	?	4.83	-2.24	2.59	2.30	2.53	0.77	1.95	4.58	8.37	8.36	2.18	23.34	?	?	?	-33.30	?	?	?	?	?	?	?	-48.96	?	?	?	?	?	2.71	-11.14	-4.41	26.32	?	?	29.85	56.17	1.83	39.25	2.76	100.00	2.11	?	?	1.81	29.78	33.70	24.20	20.24	78.14	21.86	100.00	1.67	0.78	4.58	1.11	?	?	15.07	?	?	?	39.59	0.77
