Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-04-01	100.00	39.20	60.80	33.89	11.76	0.24	14.92	2.03	16.95	23.93	12.89	0.73	9.46	1.70	14.87	11.63	?	29.30	32.32	15.48	46.10	21.76	52.10	22.97	48.28	18.03	51.60	28.90	44.75	16.95	46.38	26.86	38.67	19.94	14.33	6.43	20.39	1.58	40.57	12.74	1.98	7.07	62.35	15.74	17.25	4.66	100.00	3.11	5.10	?	6.09	13.83	28.13	4.10	8.79	41.02	58.98	100.00	2.22	1.90	1.70	0.07	62.90	23.30	41.65	44.55	5.80	15.66	4.43	0.73
2007-04-01	100.00	39.22	60.78	37.20	13.74	-0.91	10.74	2.09	12.83	17.23	10.62	0.81	8.61	1.84	15.22	12.03	?	35.70	33.82	28.57	40.53	-2.29	23.88	?	58.12	11.74	25.10	150.26	103.04	11.59	22.39	138.40	103.73	55.96	65.80	5.91	24.91	2.35	35.77	16.16	1.50	7.81	61.25	16.50	18.70	3.56	100.00	3.94	2.33	?	7.50	18.70	32.46	?	13.17	45.63	54.37	100.00	1.89	1.60	1.84	?	65.51	19.80	40.72	44.59	5.57	18.43	5.02	0.81
2008-04-01	100.00	39.05	60.95	37.76	13.69	0.01	9.49	2.09	11.59	19.06	9.38	0.85	8.01	2.39	16.79	13.08	?	17.79	27.38	29.93	34.85	4.10	7.39	29.05	25.38	4.03	11.12	32.28	30.90	11.69	13.38	31.35	28.06	16.71	17.46	5.70	24.84	2.65	28.60	14.30	1.72	6.16	50.78	17.04	18.92	13.26	100.00	4.38	?	?	8.78	21.58	34.74	4.24	19.26	58.23	41.77	100.00	1.46	1.24	2.39	0.10	64.83	17.70	45.61	36.92	5.63	20.62	5.09	0.85
2009-04-01	100.00	41.58	58.42	40.80	14.63	1.60	1.38	-0.07	1.32	?	2.54	0.71	1.81	3.29	5.15	2.77	2.67	3.13	18.13	23.82	27.96	-84.96	-46.51	-21.52	-1.55	-72.06	-31.26	-10.66	9.29	-69.77	-27.77	-9.15	8.50	-11.86	-26.94	8.50	17.60	6.93	47.58	8.16	1.12	5.97	62.83	14.76	13.28	9.12	100.00	2.52	?	0.09	7.21	20.87	30.68	23.11	15.83	69.63	30.37	100.00	2.05	1.82	3.29	0.76	55.11	16.92	40.72	31.31	6.62	21.57	4.54	0.71
2010-04-01	100.00	35.92	64.08	38.98	13.63	-0.95	12.42	-1.05	11.37	10.43	10.18	0.66	6.69	2.57	19.10	13.38	7.03	15.41	11.92	19.73	21.11	935.29	17.48	14.04	16.58	362.65	10.38	12.14	18.43	334.62	13.64	13.88	18.33	9.65	40.00	3.45	21.35	2.10	57.34	7.26	1.74	3.52	69.86	12.39	10.87	6.88	100.00	2.84	?	?	5.84	20.75	29.43	16.96	14.65	61.04	38.96	100.00	2.37	2.20	2.57	0.44	42.62	22.49	41.67	23.44	8.56	16.23	4.88	0.66
2011-04-01	100.00	35.02	64.98	36.08	12.66	0.15	16.09	-0.59	15.50	15.24	13.14	0.68	8.98	2.28	21.50	14.56	11.46	30.30	15.75	19.91	17.67	68.78	38.01	21.74	22.35	68.11	29.53	20.36	24.56	51.33	25.75	19.90	23.33	38.08	33.86	4.35	21.93	1.67	60.89	8.74	1.28	3.99	74.90	10.73	8.95	5.43	100.00	2.74	13.54	?	5.14	18.27	39.69	?	16.42	56.11	43.89	100.00	1.89	1.75	2.28	?	43.25	22.52	42.46	23.31	8.44	16.21	5.97	0.68
2012-04-01	100.00	40.43	59.57	34.15	13.29	0.16	11.98	-0.55	11.43	15.02	9.71	0.69	6.72	2.22	15.09	12.19	10.54	21.68	22.31	17.32	22.81	-9.44	151.06	19.90	?	-10.06	91.25	15.25	69.83	-7.60	82.49	15.46	65.91	8.64	-6.06	6.53	16.93	1.74	56.63	8.72	1.69	4.57	71.61	11.93	11.97	4.48	100.00	2.45	12.61	?	3.57	18.30	36.92	0.66	17.38	54.96	45.04	100.00	1.94	1.77	2.22	0.01	46.07	19.56	33.74	31.88	7.92	18.67	6.08	0.69
2013-04-01	100.00	40.61	59.39	35.49	14.28	0.03	9.60	-0.65	8.95	10.82	7.98	0.61	4.86	2.38	11.22	8.77	7.18	1.59	17.22	13.90	21.65	-18.58	7.56	14.15	21.37	-16.53	8.07	10.28	20.78	-13.29	6.63	9.76	20.07	-5.22	2.61	4.79	17.10	2.14	61.84	7.12	1.24	4.67	74.88	10.42	10.40	4.31	100.00	2.31	11.19	?	3.10	17.48	34.07	8.85	15.12	58.04	41.96	100.00	2.20	2.02	2.38	0.21	47.03	21.36	34.98	33.42	7.76	17.09	5.49	0.61
2014-04-01	100.00	38.04	61.96	34.45	14.50	1.40	11.61	0.10	11.71	13.93	10.08	0.62	6.23	2.43	14.99	10.87	21.52	-0.12	7.28	13.18	18.38	20.81	-3.78	73.15	16.57	26.16	-1.80	49.09	15.41	33.58	2.29	47.74	15.86	-2.65	4.17	3.50	17.84	1.77	54.27	9.28	1.33	5.31	70.19	12.03	12.04	5.74	100.00	2.68	?	?	4.42	22.13	29.23	10.80	18.90	58.93	41.07	100.00	2.40	2.17	2.43	0.26	47.80	19.87	38.43	29.24	7.64	18.37	5.55	0.62
2015-04-01	100.00	37.39	62.61	35.89	15.01	?	11.70	-0.06	11.64	21.45	9.14	0.66	6.01	2.75	15.55	11.65	17.97	-3.20	-0.59	9.26	14.38	-2.42	-1.36	7.97	10.96	-12.17	-2.57	6.94	9.51	-4.37	3.47	9.14	11.49	-6.04	-3.14	2.86	17.85	1.95	56.65	8.29	1.56	5.55	72.05	10.95	11.88	5.12	100.00	3.01	?	?	7.46	18.34	28.82	15.82	19.05	63.68	36.32	100.00	2.50	2.25	2.75	0.44	48.73	21.43	42.28	27.88	7.49	17.03	5.73	0.66
2016-03-31	100.00	37.39	62.61	35.89	15.01	?	11.70	-0.06	11.64	21.45	9.14	0.66	6.01	2.75	15.55	11.65	17.97	-6.63	?	?	?	-27.79	?	?	?	?	?	?	?	-26.36	?	?	?	?	?	2.86	17.85	1.95	56.65	8.29	1.56	5.55	72.05	10.95	11.88	5.12	100.00	3.01	?	?	7.46	18.34	28.82	15.82	19.05	63.68	36.32	100.00	2.50	2.25	2.75	0.44	48.73	21.43	42.28	27.88	7.49	17.03	5.73	0.66
