Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-01-01	100.00	61.66	38.34	8.61	14.82	0.60	14.32	0.85	15.16	16.00	12.74	1.34	17.08	1.31	22.96	21.64	?	18.19	7.55	26.44	?	199.40	33.18	21.15	?	201.51	49.37	24.80	?	189.47	45.11	21.43	?	237.68	464.85	3.35	15.44	1.21	49.61	16.61	13.30	1.35	80.87	9.30	8.39	1.43	100.00	9.37	?	?	13.54	?	22.90	?	0.99	23.89	76.11	100.00	3.53	2.89	1.31	?	47.20	71.05	52.03	66.23	7.73	5.14	13.31	1.34
2007-01-01	100.00	57.62	42.38	9.57	18.04	?	14.78	1.34	16.11	9.37	14.63	1.34	19.55	1.33	25.91	23.72	?	29.17	18.96	17.51	?	33.33	71.33	13.41	?	48.33	82.03	20.46	?	39.39	74.89	17.43	?	31.52	20.46	4.73	14.40	0.98	41.78	19.39	13.26	1.52	75.95	9.75	12.97	1.34	100.00	10.17	?	?	13.66	0.04	23.88	?	1.10	24.98	75.02	100.00	3.18	2.56	1.33	?	49.77	62.90	46.59	66.08	7.33	5.80	13.98	1.34
2008-01-01	100.00	54.38	45.62	8.33	16.88	?	20.41	1.59	22.00	11.50	19.46	1.28	24.84	1.43	34.49	32.04	?	33.53	26.80	16.50	?	84.44	94.54	42.17	?	77.71	99.57	54.44	?	70.78	90.30	48.72	?	116.35	144.98	4.58	26.42	1.36	48.28	17.78	9.57	1.45	77.08	9.60	12.30	1.02	100.00	13.13	?	?	12.52	0.16	25.81	?	4.34	30.15	69.85	100.00	2.99	2.56	1.43	?	52.78	58.40	62.58	48.61	6.92	6.25	13.21	1.28
2009-01-01	100.00	65.71	34.29	10.58	24.99	0.78	-2.06	0.81	-1.25	?	-0.88	0.97	-0.85	1.40	-1.20	-2.36	?	-16.42	12.97	13.44	36.60	?	?	?	?	?	?	?	?	?	?	?	?	-80.37	?	11.90	-4.62	5.27	37.47	9.50	16.05	1.68	64.70	18.68	15.43	1.19	100.00	6.53	?	?	16.70	?	23.24	?	5.30	28.53	71.47	100.00	2.78	2.02	1.40	0.01	52.48	72.69	57.65	67.52	6.95	5.02	6.95	0.97
2010-01-01	100.00	64.62	35.38	11.03	27.32	?	-2.97	0.50	-2.47	?	-2.04	0.96	-1.96	1.35	-2.69	-3.30	-23.79	-2.87	2.72	10.60	24.41	?	?	?	?	?	?	?	?	?	?	?	?	95.62	?	2.33	12.33	-6.03	48.19	10.46	9.22	1.31	69.18	15.95	13.67	1.20	100.00	9.61	?	?	10.88	1.38	21.87	?	3.80	25.68	74.32	100.00	3.16	2.68	1.35	0.01	38.04	73.74	47.83	63.95	9.59	4.95	5.55	0.96
2011-01-01	100.00	60.23	39.77	11.81	23.96	-3.22	7.22	0.44	7.65	6.65	7.14	0.88	6.27	1.41	8.66	8.08	87.72	6.52	-4.73	8.32	17.03	?	-32.63	-5.54	6.98	?	-31.79	-3.51	9.74	?	-31.02	-4.81	7.51	38.54	40.88	2.76	16.31	2.28	55.40	7.76	7.69	0.94	71.79	12.65	14.65	0.91	100.00	6.37	?	0.10	7.38	7.12	20.97	?	8.26	29.23	70.77	100.00	3.42	3.01	1.41	0.01	37.28	57.82	53.93	41.17	9.79	6.31	6.21	0.88
2012-01-01	100.00	48.56	51.44	10.15	25.08	?	16.22	0.38	16.59	12.41	14.53	0.80	11.57	1.34	15.86	15.38	215.76	12.83	5.29	5.43	11.31	153.49	?	7.41	10.37	129.55	?	5.30	12.63	118.60	?	4.15	10.59	34.53	33.31	3.47	19.27	1.33	56.36	6.05	6.13	1.79	70.33	10.09	17.42	2.17	100.00	6.03	?	?	10.71	?	16.75	?	8.59	25.34	74.66	100.00	4.20	3.73	1.34	0.01	31.27	64.47	58.40	37.34	11.67	5.66	7.08	0.80
2013-01-01	100.00	47.98	52.02	10.07	26.80	?	15.15	0.32	15.47	15.03	13.14	0.72	9.40	1.33	12.54	12.17	201.98	7.06	8.77	0.87	8.41	-0.01	?	-4.97	16.24	-3.19	?	-6.75	20.01	-4.26	?	-7.23	17.46	-9.35	-16.82	4.28	14.97	1.14	58.14	7.08	6.55	2.70	74.47	8.99	14.87	1.68	100.00	5.56	?	0.05	4.80	4.82	15.22	?	9.49	24.71	75.29	100.00	4.89	4.28	1.33	?	33.70	67.53	61.45	39.79	10.83	5.40	7.53	0.72
2014-01-01	100.00	45.09	54.91	10.55	32.34	?	12.01	0.34	12.35	13.77	10.65	0.60	6.44	1.63	9.48	8.13	49.86	-3.50	5.24	3.82	8.52	-23.45	24.73	?	18.60	-21.78	20.23	?	19.45	-17.78	19.84	?	17.83	1.33	-9.50	6.18	14.04	1.32	64.43	5.88	5.35	1.91	77.57	8.04	12.95	1.44	100.00	4.47	?	0.03	4.22	4.32	13.04	18.71	6.79	38.54	61.46	100.00	5.95	5.39	1.63	0.31	38.91	79.12	66.71	51.32	9.38	4.61	7.13	0.60
2015-01-01	100.00	44.47	55.53	10.27	29.04	?	16.21	-0.09	16.12	16.46	13.47	0.65	8.73	1.63	14.21	11.09	17.36	13.35	5.40	7.07	8.82	52.95	5.40	?	20.92	43.32	2.76	?	20.18	51.35	6.01	?	19.41	8.44	35.06	2.61	16.73	1.24	64.20	6.58	6.71	1.85	79.34	7.74	11.66	1.26	100.00	4.07	?	0.04	1.93	6.40	12.44	19.22	6.98	38.65	61.35	100.00	6.38	5.69	1.63	0.32	35.08	76.32	54.14	57.27	10.40	4.78	8.21	0.65
2016-01-01	100.00	44.00	56.00	10.57	28.86	?	16.58	-0.43	16.15	17.84	13.27	0.67	8.87	1.60	14.39	11.14	17.21	4.37	?	?	?	16.28	?	?	?	?	?	?	?	?	?	?	?	?	?	2.61	18.55	1.40	65.72	6.24	6.01	2.02	79.99	7.50	11.29	1.22	100.00	3.04	?	0.05	1.81	7.20	12.11	19.08	6.32	37.51	62.49	100.00	6.60	5.94	1.60	0.31	32.85	72.90	46.57	59.19	11.11	5.01	8.46	0.67
