Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	100.00	77.62	22.38	28.68	22.03	20.28	-48.61	-11.28	-59.89	?	-66.14	0.53	-34.86	9.61	-334.88	-42.08	-5.49	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.62	-19.05	0.29	17.71	4.76	6.10	1.94	30.51	17.50	48.85	3.14	100.00	5.99	3.90	?	9.11	2.29	21.29	57.75	10.55	89.59	10.41	100.00	1.43	1.06	9.61	5.55	30.78	54.43	53.48	31.73	11.86	6.71	3.01	0.53
2009-12-01	100.00	74.79	25.21	26.31	20.22	2.11	-23.42	17.75	-5.67	?	-4.55	0.40	-1.84	9.33	-17.46	2.28	?	-29.40	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.71	-22.09	4.85	13.66	5.93	6.25	3.14	28.97	15.69	53.35	1.98	100.00	6.71	7.03	?	8.09	4.14	25.98	53.88	9.42	89.28	10.72	100.00	1.12	0.75	9.33	5.02	43.40	74.42	76.26	41.56	8.41	4.90	2.43	0.40
2010-12-01	100.00	58.59	41.41	21.94	12.90	0.36	6.20	-14.27	-8.06	?	-10.36	0.54	-5.59	7.75	-47.60	-2.71	-0.11	14.55	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	6.02	2.36	-0.23	11.76	5.74	6.72	3.76	27.97	15.24	49.56	7.23	100.00	7.76	5.54	?	6.04	3.55	22.89	54.05	10.15	87.09	12.91	100.00	1.22	0.76	7.75	4.19	35.28	74.66	83.15	26.79	10.35	4.89	3.49	0.54
2011-12-01	100.00	54.55	45.45	21.89	15.14	-0.10	8.51	-6.13	2.38	21.00	9.30	0.59	5.47	5.77	36.60	12.07	1.32	-4.73	-8.32	?	?	30.77	?	?	?	?	?	?	?	?	?	?	?	-47.15	?	5.51	-0.86	-0.09	11.24	7.24	9.35	1.91	29.73	16.08	51.45	2.74	100.00	6.88	0.79	0.54	4.48	3.18	15.87	56.67	10.15	82.68	17.32	100.00	1.87	1.16	5.77	3.27	36.42	90.21	83.59	43.04	10.02	4.05	3.77	0.59
2012-12-01	100.00	54.38	45.62	22.42	14.41	-0.67	9.45	-10.03	-0.57	?	-2.64	0.67	-1.76	6.14	-10.48	2.96	0.91	3.91	4.28	?	?	15.41	?	?	?	?	?	?	?	?	?	?	?	270.26	?	6.42	10.14	-3.84	9.58	7.92	11.10	1.74	30.35	16.62	50.35	2.69	100.00	8.73	4.77	0.45	7.05	2.24	23.23	49.46	11.01	83.71	16.29	100.00	1.31	0.75	6.14	3.04	37.69	102.65	78.31	62.02	9.68	3.56	4.09	0.67
2013-12-01	100.00	54.79	45.21	18.61	13.27	-0.19	13.52	-5.69	7.83	5.31	7.23	0.75	5.40	4.96	29.62	11.30	3.07	10.49	3.03	-2.42	?	58.01	33.60	?	?	?	?	?	?	?	?	?	?	23.41	45.02	5.19	13.31	1.84	10.39	8.40	11.47	2.17	32.44	16.25	48.27	3.04	100.00	8.44	0.62	?	7.83	1.61	18.50	50.88	10.45	79.83	20.17	100.00	1.75	1.02	4.96	2.52	36.39	100.66	76.51	60.53	10.03	3.63	4.55	0.75
2014-12-01	100.00	53.25	46.75	14.84	13.51	-0.18	18.58	-7.26	11.32	6.26	9.54	0.85	8.08	12.81	58.62	14.68	5.41	17.28	10.42	8.00	?	61.14	43.23	?	?	54.89	11.39	?	?	59.56	11.39	?	?	64.76	72.07	6.46	19.53	2.05	17.19	8.60	10.95	1.55	38.30	16.29	39.08	6.33	100.00	10.58	0.29	?	7.75	0.54	19.15	57.73	15.32	92.19	7.81	100.00	2.00	1.35	12.81	7.40	33.84	90.73	77.26	47.31	10.79	4.02	5.20	0.85
