Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2010-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2011-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2012-03-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2013-03-01	100.00	68.28	31.72	13.79	18.54	1.01	-1.63	-1.06	-2.69	?	-5.50	?	?	?	?	?	-2.96	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	5.67	1.72	-0.31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2014-03-01	100.00	64.73	35.27	13.19	17.18	2.52	2.38	-0.30	2.08	47.04	1.10	1.25	1.37	1.36	1.87	2.15	4.99	19.09	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	83.64	277.76	5.93	5.47	4.97	26.51	16.36	13.66	1.86	58.40	21.30	17.26	3.04	100.00	8.67	9.48	?	5.63	0.12	23.90	?	2.61	26.51	73.49	100.00	2.44	1.79	1.36	?	43.68	61.73	39.18	66.23	8.36	5.91	5.86	1.25
2015-03-01	100.00	59.71	40.29	14.60	15.05	3.48	7.16	-0.07	7.09	?	11.47	0.44	5.03	1.12	5.73	5.68	86.32	49.01	?	?	?	347.92	?	?	?	1452.78	?	?	?	?	?	?	?	133.57	114.54	9.99	7.87	0.69	7.90	5.51	5.03	3.32	21.76	12.82	64.53	0.89	100.00	2.65	?	?	1.91	0.16	4.72	?	5.72	10.43	89.57	100.00	4.61	2.84	1.12	?	52.40	84.42	46.85	89.97	6.97	4.32	3.17	0.44
2016-02-29	100.00	60.04	39.96	17.29	15.96	3.08	3.63	0.14	3.76	?	7.72	0.60	4.62	1.12	5.17	5.18	53.04	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	12.12	7.75	1.00	8.08	6.27	5.27	3.25	22.87	13.60	62.53	1.00	100.00	2.98	?	?	1.86	0.01	4.86	?	5.73	10.59	89.41	100.00	4.71	2.96	1.12	?	72.01	106.97	60.57	118.41	5.07	3.41	2.20	0.60
