Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2010-12-01	100.00	10.96	89.04	48.23	3.90	20.13	16.78	6.22	22.99	39.54	13.90	?	?	?	?	?	5.17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.36	14.13	1.02	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2011-12-01	100.00	4.95	95.05	27.64	5.46	14.09	47.86	-12.46	35.40	40.41	21.10	0.23	4.88	?	?	?	4.66	376.82	?	?	?	1260.16	?	?	?	623.59	?	?	?	?	?	?	?	1024.23	1056.89	2.25	34.27	1.62	25.40	6.29	?	0.18	31.87	0.69	66.84	0.60	100.00	0.45	5.79	1.65	1.35	?	9.24	10.20	94.66	114.09	-14.09	100.00	3.45	3.43	?	?	99.14	?	142.88	?	3.68	?	33.56	0.23
2012-12-01	100.00	6.30	93.70	39.00	10.01	13.25	31.45	-2.17	29.27	38.63	17.97	0.40	7.24	?	?	?	14.15	79.95	?	?	?	18.24	?	?	?	53.25	?	?	?	?	?	?	?	43.89	42.12	2.13	27.07	1.51	26.19	8.71	?	0.52	35.42	1.33	62.21	1.04	100.00	1.25	4.49	0.61	2.62	?	8.96	6.01	96.19	111.15	-11.15	100.00	3.95	3.89	?	?	68.31	?	124.12	?	5.34	?	39.55	0.40
2013-12-01	100.00	6.22	93.78	47.13	14.57	6.96	25.13	-1.10	24.03	37.47	2.67	0.48	1.27	1.19	2.87	2.38	?	45.03	131.73	?	?	15.90	165.14	?	?	21.30	137.82	?	?	-57.41	?	?	?	-25.38	-36.06	3.09	11.93	0.79	32.39	11.58	?	2.08	46.05	2.01	50.87	1.07	100.00	1.21	2.94	1.20	2.76	?	8.12	5.13	2.53	15.77	84.23	100.00	5.67	5.42	1.19	0.06	79.67	?	151.84	?	4.58	?	27.54	0.48
2014-12-01	100.00	7.03	92.97	50.02	18.09	6.16	18.69	-1.16	17.53	41.87	10.19	0.48	4.85	1.19	5.76	5.25	?	26.14	48.76	?	?	-6.18	8.74	?	?	-14.48	16.71	?	?	113.04	?	?	?	94.72	107.23	3.59	19.61	1.92	40.81	11.62	?	2.49	54.92	2.83	41.35	0.90	100.00	0.92	1.67	1.74	2.47	0.34	7.14	6.68	1.93	15.75	84.25	100.00	7.69	7.35	1.19	0.08	88.87	?	114.68	?	4.11	?	19.41	0.48
