Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-09-01	100.00	78.00	22.00	5.61	?	4.14	12.26	0.25	12.50	37.92	7.76	1.86	14.45	1.68	21.60	19.93	?	20.31	24.65	24.04	29.91	27.95	34.79	27.40	34.56	26.21	31.98	39.21	34.20	28.42	31.22	37.86	29.78	16.35	-31.41	10.11	4.39	0.57	8.74	5.43	15.55	4.70	34.41	52.42	3.64	9.53	100.00	6.29	7.90	?	15.74	4.98	34.92	0.08	5.51	40.51	59.49	100.00	0.99	0.41	1.68	?	9.48	35.59	15.44	29.64	38.49	10.25	3.84	1.86
2006-09-01	100.00	78.68	21.32	6.07	?	3.77	11.48	0.16	11.64	35.84	7.25	1.96	14.21	1.99	26.13	20.99	?	22.26	24.09	24.07	27.30	14.52	28.16	26.04	31.71	14.11	28.11	25.50	29.63	16.39	28.45	25.29	26.53	22.52	28.89	9.90	4.63	0.64	10.24	5.06	14.37	4.87	34.54	51.66	4.50	9.30	100.00	7.70	15.82	?	14.95	5.24	43.70	0.04	5.93	49.68	50.32	100.00	0.79	0.35	1.99	?	9.73	35.22	16.74	28.21	37.52	10.36	3.77	1.96
2007-09-01	100.00	76.66	23.34	8.32	?	3.82	11.20	0.03	11.22	36.33	7.15	1.93	13.77	2.34	29.81	20.72	?	20.86	21.14	23.40	25.55	17.90	19.99	27.02	28.14	19.21	19.74	25.61	27.90	22.54	22.35	26.37	25.82	17.64	-30.39	11.48	2.67	0.37	8.21	5.39	12.94	5.21	31.75	54.09	4.82	9.34	100.00	7.31	13.31	?	14.16	5.56	40.34	10.29	6.63	57.26	42.74	100.00	0.79	0.34	2.34	0.24	9.93	33.59	18.51	25.01	36.75	10.87	3.64	1.93
2008-09-01	100.00	80.81	19.19	7.57	?	6.77	4.85	-0.43	4.43	31.34	3.04	1.89	5.73	2.28	13.21	9.48	?	10.32	17.69	20.57	23.01	-52.19	-13.58	3.48	15.61	-53.10	-13.91	3.29	16.52	-50.57	-11.00	5.12	16.45	-5.45	9.30	9.48	2.64	0.87	5.68	5.81	12.21	7.11	30.81	52.12	5.87	11.20	100.00	5.73	12.58	?	11.11	9.18	38.60	9.69	7.80	56.09	43.91	100.00	0.80	0.30	2.28	0.22	10.85	30.11	15.57	25.40	33.63	12.12	3.55	1.89
2009-09-01	100.00	44.25	55.75	39.68	?	11.58	5.75	-0.03	5.72	30.11	4.00	1.74	6.95	1.83	14.12	10.69	15.30	-5.86	7.87	13.05	19.25	11.53	-14.33	-1.63	13.62	23.87	-11.52	-0.05	14.41	20.93	-9.86	1.83	14.44	10.35	244.06	4.56	9.65	2.41	11.94	4.86	11.92	7.78	36.50	45.48	5.87	12.14	100.00	4.79	?	2.29	11.53	9.74	28.35	9.85	7.19	45.39	54.61	100.00	1.29	0.59	1.83	0.18	11.21	57.29	24.98	43.52	32.55	6.37	3.56	1.74
2010-09-01	100.00	41.64	58.36	38.49	?	8.00	13.26	0.16	13.42	34.01	8.83	1.79	15.81	1.74	28.14	23.89	44.95	9.54	4.39	10.95	17.31	152.56	10.43	12.70	19.83	141.97	12.02	13.85	25.89	138.46	12.54	15.24	26.05	22.74	34.00	4.12	11.81	1.34	22.70	4.74	8.51	7.21	43.16	37.84	5.22	13.78	100.00	4.43	?	1.57	13.09	8.77	27.86	8.60	5.99	42.46	57.54	100.00	1.55	0.99	1.74	0.15	9.78	49.45	22.50	36.73	37.33	7.38	4.32	1.79
2011-09-01	100.00	42.30	57.70	36.76	?	7.91	14.77	0.71	15.48	31.09	10.65	1.70	18.12	1.68	30.91	25.96	55.39	9.27	4.06	8.48	16.01	21.78	50.81	14.10	19.92	31.74	58.05	17.16	21.26	30.65	55.60	17.94	21.56	-5.43	-14.53	4.55	9.23	0.87	27.86	5.25	13.12	5.32	51.56	32.00	5.89	10.56	100.00	7.34	?	1.48	11.30	8.08	28.20	7.47	4.76	40.43	59.57	100.00	1.83	1.17	1.68	0.13	10.75	55.65	30.33	36.06	33.95	6.56	4.90	1.70
2012-09-01	100.00	43.71	56.29	35.48	?	7.37	15.02	0.46	15.48	32.75	10.40	1.71	17.76	1.61	29.15	26.54	63.97	13.67	10.81	7.16	14.99	15.56	52.61	13.64	20.14	11.09	52.42	15.52	20.46	10.49	50.99	15.52	20.82	8.55	-17.25	6.44	6.72	0.65	24.78	5.91	15.10	5.29	51.09	32.35	6.60	9.95	100.00	4.84	?	1.68	10.20	10.16	26.89	6.69	4.27	37.84	62.16	100.00	1.90	1.14	1.61	0.11	11.97	69.29	29.45	51.82	30.49	5.27	5.31	1.71
2013-09-01	100.00	42.86	57.14	35.08	?	24.25	-2.19	0.64	-1.54	?	0.06	1.51	0.08	2.57	0.17	0.46	-7.18	11.98	11.62	7.48	13.84	?	?	?	?	-99.40	-79.37	-51.69	-29.36	-99.44	-79.95	-52.87	-29.61	66.16	96.52	7.73	11.80	211.70	28.08	4.87	9.65	4.91	47.51	27.79	9.88	14.82	100.00	4.27	?	1.09	32.41	8.93	46.69	11.28	3.12	61.10	38.90	100.00	1.02	0.71	2.57	0.29	12.83	67.27	25.44	54.67	28.44	5.43	5.08	1.51
2014-09-01	100.00	41.70	58.30	34.23	?	5.34	18.73	0.48	19.21	34.56	12.57	1.48	18.57	2.04	42.41	30.79	50.29	10.45	12.02	10.97	12.00	?	21.25	40.54	17.58	?	18.41	39.55	18.10	?	18.71	39.12	19.02	-79.10	?	7.06	-3.36	-0.27	17.15	5.87	10.15	5.61	38.77	32.73	10.51	18.00	100.00	4.96	?	2.53	9.32	11.44	28.26	19.05	3.66	50.97	49.03	100.00	1.37	0.81	2.04	0.39	13.23	58.59	27.28	44.54	27.59	6.23	4.90	1.48
2015-09-01	100.00	40.85	59.15	34.27	?	5.96	18.92	2.41	21.33	31.45	14.61	1.59	23.16	2.20	49.29	32.35	58.21	17.51	?	?	?	22.13	?	?	?	?	?	?	?	22.39	?	?	?	?	?	7.02	12.09	0.83	16.90	5.23	9.06	5.80	36.99	30.91	16.21	15.88	100.00	4.69	4.27	1.32	9.70	11.48	31.47	18.24	4.78	54.49	45.51	100.00	1.18	0.70	2.20	0.40	12.41	53.14	26.13	39.42	29.40	6.87	5.01	1.59
