Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	57.82	42.18	8.73	8.45	?	25.00	1.59	26.60	37.00	16.76	0.85	14.20	1.24	17.31	16.12	?	29.77	62.11	30.82	43.38	115.86	114.83	35.84	53.77	44.92	120.10	5.28	45.48	38.89	98.68	-0.54	33.06	111.21	240.17	5.83	15.02	0.90	54.41	10.54	10.63	6.97	82.55	6.77	?	10.68	100.00	9.79	?	?	3.50	5.02	18.30	?	0.81	19.11	80.89	100.00	4.51	3.55	1.24	?	41.43	72.27	59.73	53.97	8.81	5.05	12.87	0.85
2006-12-01	100.00	61.95	38.05	11.15	9.42	7.46	10.02	3.20	13.22	53.45	6.11	0.65	3.94	1.46	5.46	2.08	?	41.26	44.49	54.81	42.02	-43.40	8.28	?	38.57	-48.52	5.61	?	29.93	-52.00	-2.00	?	20.40	24.37	21.71	5.42	12.94	2.12	40.32	10.17	7.12	3.27	60.88	4.56	18.65	15.91	100.00	5.76	?	?	4.46	2.64	12.87	17.58	1.12	31.57	68.43	100.00	4.73	3.92	1.46	0.26	52.70	74.84	63.92	63.62	6.93	4.88	12.31	0.65
2007-12-01	100.00	69.13	30.87	12.22	10.73	0.82	7.10	3.13	10.23	43.89	5.60	0.55	3.07	1.46	4.49	2.18	?	19.61	29.91	48.41	41.02	-15.27	1.16	36.59	30.23	9.78	-6.44	43.22	27.13	-3.13	-13.56	29.54	16.76	9.17	-13.15	7.36	9.40	1.68	25.37	7.83	7.67	4.73	45.61	5.85	16.07	32.47	100.00	6.14	?	?	3.96	2.53	12.63	16.93	1.88	31.45	68.55	100.00	3.61	2.63	1.46	0.25	50.34	71.21	57.29	64.26	7.25	5.13	10.52	0.55
2008-12-01	100.00	98.12	1.88	15.90	12.83	32.04	-58.89	2.10	-56.78	?	-61.37	0.51	-31.25	1.87	-50.57	-40.22	?	-13.99	13.27	25.42	37.79	?	?	?	?	?	?	?	?	?	?	?	?	-86.70	?	5.49	-2.90	0.05	24.29	8.41	10.09	2.82	45.61	6.70	1.07	46.62	100.00	10.31	?	?	8.48	2.52	21.31	20.67	4.46	46.43	53.57	100.00	2.14	1.53	1.87	0.39	31.86	64.01	58.56	37.31	11.46	5.70	8.18	0.51
2009-12-01	100.00	63.98	36.02	10.65	10.77	0.03	14.56	-0.44	14.12	17.56	11.64	0.60	6.96	1.53	11.72	9.09	7.52	6.43	3.07	14.95	30.60	?	16.76	14.22	32.95	?	27.82	9.27	31.63	?	23.08	4.45	23.61	461.99	?	1.67	12.00	1.03	31.98	3.91	9.94	2.74	48.57	5.02	0.97	45.45	100.00	5.27	1.25	?	3.90	4.09	14.51	15.57	4.76	34.85	65.15	100.00	3.35	2.47	1.53	0.24	18.24	95.54	74.17	39.61	20.01	3.82	10.22	0.60
2010-12-01	100.00	53.13	46.87	7.80	8.75	0.03	30.28	-0.09	30.19	10.79	26.94	0.65	17.60	1.52	26.83	21.46	17.35	35.33	7.40	15.92	23.15	181.40	74.19	20.45	27.91	213.05	81.25	27.47	15.85	203.91	80.18	22.16	10.22	197.61	213.87	2.24	27.84	1.03	32.45	4.19	5.81	3.50	45.95	3.04	0.43	50.59	100.00	4.73	?	?	3.24	2.97	10.94	19.50	3.68	34.11	65.89	100.00	4.20	3.35	1.52	0.30	22.77	78.71	52.05	49.42	16.03	4.64	17.00	0.65
2011-12-01	100.00	56.92	43.08	6.31	9.67	0.08	27.02	-0.94	26.08	33.16	17.43	0.60	10.42	1.44	15.37	12.83	11.91	17.31	19.10	11.69	31.50	4.69	?	36.21	?	-24.09	?	37.76	?	-25.74	?	33.30	?	-27.42	-35.93	3.41	15.20	0.87	28.00	5.13	6.67	3.02	42.81	3.39	4.35	49.45	100.00	5.26	?	0.60	2.32	2.57	10.75	15.77	4.05	30.57	69.43	100.00	3.98	3.08	1.44	0.23	28.67	67.27	53.79	42.15	12.73	5.43	18.52	0.60
2012-12-01	100.00	66.69	33.31	7.41	11.93	0.20	13.78	-1.37	12.41	33.42	8.26	0.49	4.07	1.42	5.83	5.20	6.21	-10.77	12.31	5.33	25.03	-54.51	10.25	20.28	28.18	-57.71	0.17	13.84	27.68	-57.92	-1.70	12.82	20.89	-49.72	-95.14	9.66	0.83	0.10	27.81	5.69	7.25	3.80	44.55	6.44	4.34	44.67	100.00	4.54	8.77	0.25	2.11	2.53	18.20	7.64	3.90	29.74	70.26	100.00	2.45	1.84	1.42	0.11	40.10	77.37	54.39	63.08	9.10	4.72	10.00	0.49
2013-12-01	100.00	53.53	46.47	7.60	12.03	1.53	25.32	-0.75	24.57	31.23	16.90	0.59	10.01	1.51	14.65	12.02	16.46	22.12	8.53	12.98	19.04	124.42	2.24	?	19.78	149.80	-7.09	?	19.97	155.29	-7.25	?	15.58	251.73	3840.35	3.46	26.75	1.58	27.70	7.55	7.22	1.87	44.34	6.25	5.40	44.01	100.00	4.10	?	0.57	3.86	3.21	11.73	18.93	2.91	33.57	66.43	100.00	3.78	3.00	1.51	0.28	37.60	83.28	49.67	71.21	9.71	4.38	9.34	0.59
2014-12-01	100.00	53.71	46.29	9.03	12.86	0.90	23.51	-1.04	22.47	32.34	15.20	0.64	9.70	1.58	14.93	12.05	12.87	7.42	5.39	13.19	14.07	-0.27	0.60	24.57	19.28	-3.38	0.69	19.39	14.22	-2.53	1.54	18.77	11.38	-8.87	-11.19	3.51	22.11	1.45	22.01	9.86	6.78	2.17	40.82	7.04	13.35	38.79	100.00	3.93	8.45	0.72	4.12	4.07	21.29	11.66	3.61	36.56	63.44	100.00	1.92	1.50	1.58	0.18	42.00	74.59	42.74	73.85	8.69	4.89	9.60	0.64
2015-12-01	100.00	57.26	42.74	10.30	14.72	3.22	14.50	-1.26	13.24	27.04	9.66	0.61	5.88	1.63	9.15	7.61	7.50	-24.28	?	?	?	-75.06	?	?	?	?	?	?	?	-66.67	?	?	?	?	?	5.75	17.60	1.82	19.28	9.78	8.53	2.38	39.97	8.80	13.35	37.88	100.00	4.51	9.75	0.32	3.56	4.12	22.26	13.36	2.93	38.55	61.45	100.00	1.80	1.31	1.63	0.22	42.25	80.72	39.10	83.87	8.64	4.52	8.32	0.61
