Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-09-01	100.00	61.16	38.84	13.01	19.21	0.30	6.33	-1.15	5.17	37.52	3.23	0.67	2.17	1.50	3.32	3.30	?	1.06	20.07	26.84	24.74	17.54	?	4.76	28.56	14.27	?	-5.71	22.23	6.67	?	-29.04	1.16	-41.03	-49.67	4.81	2.03	0.63	19.35	14.43	6.52	1.45	41.75	12.14	43.03	3.08	100.00	6.08	4.21	?	1.66	1.37	13.32	19.36	0.59	33.28	66.72	100.00	3.13	2.54	1.50	0.29	75.83	59.12	54.86	80.08	4.81	6.17	5.51	0.67
2006-09-01	100.00	66.05	33.95	17.55	21.21	3.76	-8.57	-0.83	-9.41	?	-11.39	0.68	-7.74	1.50	-11.59	-7.53	?	-2.35	7.79	49.49	26.11	?	?	?	?	?	?	?	?	?	?	?	?	-49.76	?	6.38	-2.86	0.25	15.12	14.56	7.48	1.43	38.59	13.79	46.67	0.94	100.00	6.70	4.59	?	2.32	2.50	16.10	16.45	0.59	33.14	66.86	100.00	2.40	1.84	1.50	0.25	77.89	56.75	51.90	82.74	4.69	6.43	5.25	0.68
2007-09-01	100.00	61.26	38.74	12.80	17.00	1.06	7.88	-0.23	7.65	?	7.77	0.65	5.06	1.51	7.61	6.85	?	-4.14	-1.83	10.13	21.45	?	11.10	?	18.46	?	37.02	?	19.86	?	33.89	?	0.92	211.39	?	5.74	5.69	0.73	20.78	14.06	6.90	1.43	43.17	12.90	41.54	2.38	100.00	4.74	8.35	?	2.39	1.10	16.57	16.81	0.53	33.92	66.08	100.00	2.60	2.10	1.51	0.25	80.24	65.73	52.01	93.96	4.55	5.55	4.88	0.65
2008-09-01	100.00	60.12	39.88	11.63	16.98	0.76	10.51	-0.95	9.56	?	12.91	0.71	9.15	1.31	12.83	10.44	?	15.95	2.77	6.84	22.35	54.52	21.70	?	17.46	92.55	63.04	?	18.85	88.89	61.98	?	0.31	104.86	158.04	7.54	12.66	0.98	18.21	11.87	8.40	1.54	40.02	14.02	40.73	5.23	100.00	4.73	4.04	?	2.60	0.66	12.03	11.13	0.45	23.61	76.39	100.00	3.33	2.50	1.31	0.15	66.64	65.62	40.57	91.68	5.48	5.56	5.26	0.71
2009-09-01	100.00	60.35	39.65	12.51	15.45	2.75	8.93	-0.74	8.19	?	11.62	0.62	7.20	1.23	9.10	8.08	19.04	-6.68	1.23	0.47	16.71	-20.66	?	10.95	9.25	-15.96	?	33.01	15.16	-19.12	?	29.67	-1.08	21.00	57.08	4.88	21.30	1.83	26.87	8.49	6.35	1.83	43.54	11.97	36.98	7.51	100.00	5.10	6.10	?	2.17	1.17	14.53	3.48	0.45	18.46	81.54	100.00	3.00	2.43	1.23	0.04	59.52	71.55	48.09	82.98	6.13	5.10	4.78	0.62
2010-09-01	100.00	57.38	42.62	11.00	12.51	0.48	18.64	-0.44	18.20	29.62	12.81	0.73	9.41	1.19	11.34	10.68	46.94	33.55	13.06	6.23	15.54	178.57	50.59	31.85	18.23	47.17	33.54	39.91	16.04	36.36	27.72	36.20	?	6.10	-21.61	8.30	12.50	0.98	28.98	11.20	8.00	2.32	50.50	13.07	31.85	4.59	100.00	7.16	3.20	?	2.28	0.43	13.06	1.58	1.18	15.82	84.18	100.00	3.87	3.08	1.19	0.02	49.42	62.66	53.73	58.35	7.39	5.83	5.85	0.73
2011-09-01	100.00	56.28	43.72	9.67	11.88	1.35	20.81	-0.10	20.71	22.90	15.97	0.82	13.12	1.17	15.49	15.07	152.80	32.38	18.16	12.89	28.95	47.85	48.40	?	?	65.04	26.85	?	?	58.67	20.51	?	?	64.07	97.83	7.09	18.69	1.17	21.69	9.41	10.48	1.59	43.18	13.30	39.67	3.85	100.00	6.10	1.38	?	1.89	3.70	13.07	?	1.81	14.88	85.12	100.00	3.30	2.38	1.17	?	45.42	73.87	51.93	67.36	8.04	4.94	6.23	0.82
2012-09-01	100.00	57.47	42.53	10.10	13.55	2.58	16.30	-0.04	16.26	20.75	12.88	0.78	10.04	1.12	11.50	11.44	383.27	10.55	25.03	16.16	13.11	-13.44	52.77	34.31	?	-10.82	29.39	28.51	?	-11.76	24.05	23.87	?	-22.03	-27.93	6.00	12.18	0.95	14.34	13.93	10.90	2.18	41.34	13.08	41.87	3.72	100.00	6.58	?	?	1.47	0.50	8.55	?	2.27	10.82	89.18	100.00	4.83	3.31	1.12	?	55.39	87.27	51.80	90.86	6.59	4.18	5.91	0.78
2013-09-01	100.00	57.22	42.78	8.91	12.63	1.98	19.26	-0.03	19.22	19.27	15.52	0.80	12.44	1.11	13.88	13.88	?	14.24	18.69	15.82	11.24	35.00	19.99	30.73	?	37.62	26.53	20.16	?	38.10	24.58	16.35	?	75.19	96.69	6.91	20.98	1.35	21.91	12.55	9.84	1.71	46.00	14.08	37.09	2.82	100.00	5.42	?	?	1.77	0.51	7.70	?	2.24	9.94	90.06	100.00	5.97	4.47	1.11	?	60.22	82.30	47.54	94.99	6.06	4.43	5.89	0.80
2014-09-01	100.00	55.37	44.63	7.82	11.01	1.14	24.67	?	24.67	19.02	19.97	0.86	17.25	1.17	19.76	19.76	?	27.87	17.32	23.35	11.32	63.78	24.16	51.12	29.49	64.58	26.41	37.45	35.21	64.14	25.99	34.04	31.84	54.57	49.99	9.10	24.60	1.23	27.10	10.68	9.11	1.18	48.06	18.69	31.14	2.11	100.00	6.75	?	?	2.38	0.88	10.01	?	4.84	14.84	85.16	100.00	4.80	3.77	1.17	?	48.71	71.96	47.05	73.62	7.49	5.07	5.18	0.86
