Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-03-01	100.00	23.70	76.30	42.14	16.04	11.51	6.61	2.14	8.75	56.76	3.79	0.35	1.33	1.31	1.81	0.74	?	60.42	43.34	37.16	24.99	-66.56	-7.08	20.11	?	-70.75	-14.21	19.66	?	-79.73	-26.96	5.01	?	27.28	13.13	6.62	30.47	8.05	16.00	3.75	0.27	1.80	21.82	5.28	72.63	0.27	100.00	0.93	2.86	?	2.58	13.03	19.41	?	4.28	23.70	76.30	100.00	1.12	1.02	1.31	?	42.12	12.60	44.95	9.78	8.67	28.96	6.24	0.35
2007-03-01	100.00	23.38	76.62	44.71	16.67	5.24	10.00	2.15	12.15	35.98	7.78	0.29	2.27	1.53	3.20	2.33	?	25.49	40.61	37.15	27.11	89.71	0.40	130.19	30.97	157.81	2.95	?	31.58	173.33	-8.49	?	21.44	8.42	-2.32	8.33	23.72	3.05	16.83	3.76	0.24	2.11	22.93	6.15	70.40	0.52	100.00	0.84	?	?	3.06	14.79	18.69	11.83	4.12	34.64	65.36	100.00	1.23	1.10	1.53	0.18	46.96	13.64	47.47	13.13	7.77	26.76	5.10	0.29
2008-03-01	100.00	20.77	79.23	47.03	15.24	6.70	10.25	1.88	12.13	34.90	7.90	0.33	2.59	1.65	4.11	3.19	?	12.98	31.51	33.09	26.09	15.88	-9.75	12.02	19.62	14.71	-4.71	13.30	18.48	26.83	-11.10	6.20	11.35	9.15	25.27	4.66	26.30	3.33	13.41	4.19	0.19	2.82	20.62	5.54	72.41	1.44	100.00	0.94	1.11	?	2.38	16.57	21.00	11.61	6.74	39.35	60.65	100.00	0.98	0.84	1.65	0.19	44.28	11.41	47.67	8.02	8.24	31.98	5.61	0.33
2009-03-01	100.00	19.95	80.05	44.37	14.30	126.58	-105.20	0.26	-104.95	?	-109.42	0.43	-46.83	2.70	-90.19	-69.73	-216.28	4.69	14.07	26.88	25.51	?	?	?	?	?	?	?	?	?	?	?	?	-8.14	-9.48	4.43	22.74	-0.21	18.70	7.86	0.25	4.18	31.00	9.14	58.24	1.62	100.00	1.79	?	0.41	3.52	27.30	33.01	19.73	10.17	62.91	37.09	100.00	0.94	0.80	2.70	0.53	47.34	9.08	53.54	2.88	7.71	40.18	6.23	0.43
2010-03-01	100.00	18.46	81.54	45.43	14.32	6.20	15.59	-1.14	14.45	12.95	11.93	0.55	6.53	2.47	16.81	13.17	7.71	-2.68	4.80	18.30	23.15	?	21.53	2.63	20.17	?	20.87	5.90	15.42	?	28.50	3.29	9.81	1.34	3.34	4.14	24.14	2.02	27.10	7.62	0.22	3.79	38.74	8.45	51.50	1.32	100.00	1.91	?	0.31	3.11	28.25	33.57	16.66	9.28	59.51	40.49	100.00	1.15	1.03	2.47	0.41	51.62	8.58	66.77	-6.57	7.07	42.56	6.23	0.55
2011-03-01	100.00	16.88	83.12	48.66	13.93	6.32	14.22	-2.44	11.78	14.40	9.64	0.52	4.99	2.81	13.16	10.06	6.10	3.43	1.76	8.36	21.91	-5.68	13.47	26.29	23.16	-16.39	8.78	30.65	25.03	-12.64	13.48	38.34	20.53	5.97	5.61	4.33	24.65	2.56	23.26	7.96	0.24	3.81	35.27	8.26	55.08	1.40	100.00	2.04	4.69	0.19	3.48	28.07	38.47	15.62	10.31	64.40	35.60	100.00	0.92	0.81	2.81	0.44	55.10	9.61	82.78	-18.07	6.62	38.00	6.19	0.52
2012-03-01	100.00	16.08	83.92	48.31	14.40	5.19	16.03	5.81	21.84	20.27	17.41	0.52	9.11	2.56	24.36	17.60	13.78	8.72	3.05	5.30	20.17	22.61	?	15.73	63.22	96.31	?	23.72	?	106.58	?	30.80	?	5.96	5.83	4.25	24.00	1.38	24.66	7.22	0.22	3.49	35.58	8.45	55.02	0.95	100.00	2.49	?	?	3.20	28.92	34.60	15.66	10.61	60.88	39.12	100.00	1.03	0.92	2.56	0.40	52.96	9.78	98.50	-35.76	6.89	37.31	6.26	0.52
2013-03-01	100.00	17.01	82.99	46.12	14.65	5.95	16.26	-1.45	14.81	25.22	11.08	0.50	5.58	2.65	14.55	10.99	8.36	2.62	4.89	3.29	17.25	4.08	6.37	13.27	12.64	-34.73	2.33	10.52	11.90	-31.21	7.47	15.74	10.87	-16.20	-22.17	4.87	18.20	1.64	33.01	7.17	0.17	3.57	43.92	7.80	47.42	0.86	100.00	2.32	6.93	?	2.93	26.49	38.68	14.56	9.05	62.30	37.70	100.00	1.14	1.04	2.65	0.39	52.56	8.08	102.20	-41.56	6.94	45.19	6.22	0.50
2014-03-01	100.00	17.21	82.79	43.14	15.55	6.38	17.72	-0.40	17.32	22.32	13.45	0.48	6.43	2.34	16.01	11.63	14.76	-3.33	2.55	1.66	13.57	5.34	10.37	?	8.70	17.39	14.58	?	9.25	18.52	18.98	?	9.12	-19.59	-18.77	3.89	15.29	1.14	30.16	7.44	0.10	4.04	41.75	8.24	48.94	1.07	100.00	2.08	?	?	2.70	27.03	31.80	15.47	9.90	57.18	42.82	100.00	1.31	1.18	2.34	0.36	56.20	6.04	97.84	-35.60	6.49	60.47	5.97	0.48
2015-03-01	100.00	17.72	82.28	41.52	17.58	5.53	17.66	-0.86	16.79	19.67	13.49	0.49	6.56	2.23	14.97	11.70	14.84	-2.52	-1.11	1.69	9.68	-2.87	2.12	4.25	3.44	-2.23	-9.18	4.22	5.06	-1.56	-7.07	7.69	5.47	2.42	-8.81	5.85	14.31	1.06	29.40	7.50	?	4.07	40.97	9.11	48.93	0.99	100.00	1.61	2.64	?	3.01	26.39	33.65	13.19	8.30	55.15	44.85	100.00	1.22	1.10	2.23	0.29	56.08	?	78.35	?	6.51	?	5.61	0.49
