Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	100.00	0.81	99.19	40.65	10.14	6.53	41.87	-81.81	-39.94	?	24.27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	5.99	31.13	1.28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	100.00	1.30	98.70	34.52	10.53	5.88	47.77	-95.07	-47.30	?	29.09	0.61	17.82	1.47	26.27	26.12	?	18.05	?	?	?	34.67	?	?	?	41.53	?	?	?	?	?	?	?	13.56	20.47	3.94	31.77	1.09	5.46	6.87	?	1.42	13.74	4.27	81.90	0.09	100.00	0.80	?	8.69	1.86	16.06	27.41	?	4.76	32.17	67.83	100.00	0.50	0.45	1.47	?	40.94	?	367.16	?	8.92	?	14.34	0.61
2010-12-01	100.00	1.52	98.48	36.07	11.07	4.64	46.69	-93.00	-46.31	?	28.64	0.75	21.39	1.34	29.86	29.77	?	37.65	?	?	?	34.56	?	?	?	35.49	?	?	?	?	?	?	?	56.61	59.21	3.88	36.75	1.28	15.69	7.08	?	1.69	24.46	4.25	70.65	0.64	100.00	0.94	0.25	9.00	2.57	6.99	19.74	?	5.61	25.35	74.65	100.00	1.24	1.15	1.34	?	34.13	?	282.36	?	10.69	?	17.53	0.75
2011-12-01	100.00	1.71	98.29	39.86	9.02	6.60	42.81	-0.14	42.68	34.61	27.89	0.82	22.80	2.85	42.65	21.61	?	31.45	28.79	?	?	20.53	29.75	?	?	28.03	34.90	?	?	?	?	?	?	10.65	10.36	3.35	30.85	1.11	21.96	9.81	?	1.53	33.30	4.16	61.12	1.42	100.00	1.45	5.59	2.06	2.60	3.90	15.60	45.46	3.82	64.88	35.12	100.00	2.13	2.04	2.85	1.29	34.11	?	316.64	?	10.70	?	19.45	0.82
2012-12-01	100.00	1.58	98.42	44.81	11.36	3.42	38.83	-1.88	36.96	30.99	25.44	0.71	18.18	1.79	38.03	21.68	26.94	19.76	29.41	?	?	8.63	20.78	?	?	9.23	23.74	?	?	3.79	?	?	?	9.72	6.73	3.84	27.50	1.08	37.45	9.98	?	1.26	48.68	3.37	39.25	8.70	100.00	1.09	5.55	1.12	4.87	2.43	15.06	26.17	2.82	44.04	55.96	100.00	3.23	3.15	1.79	0.47	35.74	?	395.96	?	10.21	?	19.42	0.71
2013-12-01	100.00	1.88	98.12	49.38	13.83	3.73	31.18	-1.05	30.14	27.84	21.75	0.68	14.82	1.70	25.82	17.83	29.26	23.81	24.92	25.93	?	-0.58	9.19	18.72	?	5.86	13.97	23.20	?	2.92	?	?	?	46.20	40.18	5.87	31.13	1.43	32.75	8.63	?	1.41	42.79	5.53	37.60	14.08	100.00	0.67	4.65	0.37	5.81	5.00	16.49	20.37	4.46	41.31	58.69	100.00	2.60	2.51	1.70	0.35	34.48	?	246.93	?	10.58	?	15.07	0.68
2014-12-01	100.00	3.21	96.79	50.56	13.72	5.22	27.29	-1.44	25.84	29.81	18.14	0.73	13.17	1.74	22.72	17.18	36.78	31.90	25.06	28.76	?	15.42	7.62	15.12	?	10.01	8.35	17.15	?	9.93	5.50	?	?	10.72	4.06	6.50	24.56	1.35	28.74	7.71	?	1.68	38.13	9.95	48.39	3.52	100.00	0.97	3.98	1.02	5.82	7.66	19.45	13.27	9.85	42.57	57.43	100.00	1.96	1.87	1.74	0.23	36.33	?	131.71	?	10.05	?	9.01	0.73
