Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	100.00	49.02	50.98	49.77	?	51.81	-50.59	50.59	?	?	-88.38	0.13	-11.67	19.93	-79.86	-7.01	?	-29.70	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	961.00	?	310.27	-222.13	2.51	2.76	17.55	0.05	0.18	20.53	3.72	?	75.74	100.00	8.91	0.07	?	1.93	10.45	21.37	65.94	7.67	94.98	5.02	100.00	0.96	0.95	19.93	13.18	210.91	3.20	612.40	-398.29	1.73	114.00	2.91	0.13
2006-12-01	100.00	12.26	87.74	9.56	?	15.87	62.30	-62.30	?	?	48.82	0.44	21.33	4.52	146.53	33.25	?	355.26	50.40	?	?	?	70.86	?	?	?	70.11	?	?	?	?	?	?	?	?	68.73	-39.15	-0.80	1.25	14.53	0.08	0.13	15.98	8.56	?	75.46	100.00	7.35	0.05	?	0.89	1.46	9.75	67.81	0.30	77.86	22.14	100.00	1.64	1.62	4.52	3.08	40.84	4.32	547.85	-502.69	8.94	84.58	6.81	0.44
2007-12-01	100.00	?	100.00	13.34	?	47.58	39.08	-39.08	?	?	7.83	0.25	1.96	1.59	4.69	8.76	?	-37.78	25.81	?	?	-60.98	24.87	?	?	-90.02	-20.86	?	?	?	?	?	?	?	?	78.04	-73.99	-9.45	2.37	3.33	?	3.41	9.11	81.68	?	9.21	100.00	1.00	?	?	0.15	2.93	4.08	28.51	4.64	37.24	62.76	100.00	2.23	1.40	1.59	0.45	52.00	?	?	?	7.02	?	0.57	0.25
2008-12-01	100.00	10.94	89.06	6.61	?	77.53	4.93	-4.93	?	?	-3.69	0.56	-2.06	2.72	-4.47	1.01	?	200.23	104.11	44.75	?	-62.14	?	-5.92	?	?	?	?	?	?	?	?	?	?	?	117.12	-78.19	21.18	?	3.80	?	9.90	13.71	78.45	?	7.84	100.00	1.49	?	?	0.54	1.31	3.34	58.05	1.91	63.30	36.70	100.00	4.11	1.14	2.72	1.58	18.78	?	78.65	?	19.43	?	0.70	0.56
2009-12-01	100.00	30.21	69.79	19.49	?	228.48	-178.19	2.87	-175.32	?	-175.32	0.25	-43.20	3.50	-131.47	-44.57	-21.39	-46.25	0.13	26.30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	199.51	-103.99	0.59	0.23	4.86	?	8.31	13.40	81.88	?	4.71	100.00	1.45	?	0.43	2.60	1.41	5.89	61.60	3.89	71.39	28.61	100.00	2.27	0.86	3.50	2.15	47.15	?	72.35	?	7.74	?	0.31	0.25
2010-12-01	100.00	27.17	72.83	10.88	?	23.86	38.09	-38.09	?	?	23.49	0.10	2.46	4.89	11.49	4.35	6.15	70.60	40.15	50.80	?	?	38.95	?	?	?	102.15	?	?	?	60.91	?	?	?	?	141.03	-64.19	-2.73	0.12	2.19	?	1.63	3.93	67.79	27.41	0.87	100.00	0.87	11.16	0.57	0.67	1.03	14.30	26.17	39.08	79.56	20.44	100.00	0.28	0.16	4.89	1.28	79.71	?	120.09	?	4.58	?	0.15	0.10
2011-12-01	100.00	28.96	71.04	6.19	?	26.55	38.29	-38.29	?	?	19.42	0.19	3.78	2.03	10.66	7.22	4.22	243.06	46.52	42.50	?	244.93	190.21	29.28	?	183.59	?	18.51	?	95.00	?	?	?	?	?	75.59	-20.42	-1.05	0.17	2.80	?	0.34	3.30	70.96	25.04	0.69	100.00	0.50	?	0.74	0.38	1.05	2.67	44.92	3.24	50.83	49.17	100.00	1.24	1.11	2.03	0.91	46.09	?	43.72	?	7.92	?	0.28	0.19
2012-12-01	100.00	29.88	70.12	6.47	?	101.46	-37.81	-10.82	-48.62	?	-48.62	0.18	-8.62	2.76	-20.57	-6.94	-3.03	8.64	85.26	59.31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	243.31	-184.41	3.79	0.53	2.36	?	2.30	5.18	71.64	19.13	4.04	100.00	0.38	?	0.58	0.53	2.12	3.61	56.71	3.43	63.75	36.25	100.00	1.43	0.80	2.76	1.56	52.52	?	29.97	?	6.95	?	0.25	0.18
2013-12-01	100.00	8.90	67.89	5.71	?	60.07	25.32	-12.23	13.09	?	12.51	0.19	2.43	2.06	5.67	5.54	1.97	30.90	69.61	34.94	39.76	?	48.04	87.20	32.71	?	39.58	?	27.13	?	-8.34	?	?	?	?	87.56	-30.15	-2.30	0.47	2.82	?	0.97	4.26	72.72	16.91	6.11	100.00	0.40	?	0.65	1.42	2.56	5.04	40.48	3.54	49.06	50.94	100.00	0.85	0.65	2.06	0.83	48.98	?	83.61	?	7.45	?	0.27	0.19
2014-12-01	100.00	7.85	75.33	3.91	?	75.36	12.88	-4.71	8.16	?	5.86	0.25	1.47	3.16	3.84	4.34	1.92	73.39	35.10	70.56	46.77	-11.84	-6.05	?	31.05	8.12	1.21	?	28.25	-28.57	-34.42	?	?	?	?	184.14	-141.03	-17.27	?	3.69	?	3.85	7.55	78.44	11.10	2.92	100.00	0.42	?	0.79	1.48	2.02	4.71	50.95	3.90	59.56	40.44	100.00	1.60	0.78	3.16	1.61	48.66	?	76.73	?	7.50	?	0.33	0.25
