Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2006-03-01	100.00	38.07	61.93	18.32	18.89	0.85	23.87	2.58	26.45	22.44	20.52	0.56	11.40	1.16	13.11	11.79	?	9.73	14.30	0.79	11.90	10.76	38.33	1.42	9.53	13.25	41.24	58.63	13.32	14.94	40.57	58.49	12.07	77.66	97.27	3.88	24.47	1.19	32.21	7.34	6.33	6.05	51.94	11.29	4.66	32.12	100.00	2.24	?	?	2.71	5.92	10.87	?	3.14	14.01	85.99	100.00	4.78	3.64	1.16	?	43.10	107.41	37.26	113.25	8.47	3.40	4.91	0.56
2007-03-01	100.00	39.00	61.00	20.50	21.06	0.57	18.87	4.52	23.40	18.67	19.03	0.58	11.04	1.79	15.58	8.65	?	6.75	9.65	12.65	12.49	-15.60	2.06	?	8.14	-0.98	4.99	?	12.25	2.00	6.27	?	11.37	12.70	4.36	6.01	23.92	1.26	35.79	6.91	5.49	5.28	53.47	12.99	4.17	29.37	100.00	2.48	?	?	2.37	4.69	9.54	31.44	3.26	44.24	55.76	100.00	5.60	4.48	1.79	0.56	37.29	95.38	38.07	94.60	9.79	3.83	4.78	0.58
2008-03-01	100.00	37.31	62.69	19.84	19.45	0.37	23.04	2.71	25.75	21.10	20.31	0.58	11.84	1.88	21.72	11.94	?	-0.07	5.39	9.76	11.62	21.98	4.47	22.20	9.33	6.67	6.15	24.37	11.44	22.55	12.84	28.27	12.21	5.34	21.47	2.48	29.08	1.43	41.33	8.19	4.15	4.35	58.02	12.89	4.01	25.08	100.00	1.89	?	?	4.15	4.81	10.86	31.87	3.98	46.71	53.29	100.00	5.34	4.56	1.88	0.60	42.76	80.98	36.74	86.99	8.54	4.51	4.51	0.58
2009-03-01	100.00	36.66	63.34	18.83	19.47	1.50	23.53	3.76	27.30	24.60	20.58	0.61	12.60	1.63	22.03	14.18	18.21	-0.88	1.88	5.48	10.67	1.26	1.39	5.60	8.97	0.43	1.98	4.39	13.86	8.80	10.79	9.86	15.04	-23.83	-24.65	2.14	22.10	1.07	46.89	7.66	4.24	3.23	62.02	13.73	4.26	19.99	100.00	1.71	?	0.36	3.98	2.21	8.25	24.42	5.82	38.49	61.51	100.00	7.52	6.61	1.63	0.40	46.55	68.21	29.35	85.41	7.84	5.35	4.61	0.61
2010-03-01	100.00	36.64	63.36	17.86	20.15	1.78	23.57	-0.57	23.00	15.24	19.50	0.61	11.90	1.50	18.53	14.83	17.23	0.46	-0.17	3.11	6.03	0.61	7.51	3.04	2.98	-4.83	0.64	2.71	-5.84	-5.15	8.14	8.20	-3.80	25.26	30.42	1.54	28.70	1.47	43.54	8.25	4.10	3.99	59.89	11.49	3.70	24.92	100.00	3.02	?	0.45	3.87	3.87	11.22	11.14	11.05	33.41	66.59	100.00	5.34	4.62	1.50	0.17	47.69	68.04	39.22	76.51	7.65	5.36	4.86	0.61
2011-03-01	100.00	34.59	65.41	14.80	16.56	0.48	33.57	-1.03	32.54	16.76	27.09	0.65	17.53	1.71	28.31	22.96	18.24	29.23	8.77	6.54	3.63	84.06	23.31	14.06	7.55	79.55	19.72	12.63	33.67	85.27	24.12	19.04	37.35	30.64	25.29	2.74	27.82	1.03	46.52	6.92	6.39	3.51	63.34	9.19	3.88	23.59	100.00	2.40	?	?	4.08	2.41	8.89	21.52	11.28	41.69	58.31	100.00	7.12	6.01	1.71	0.37	42.30	88.04	43.52	86.83	8.63	4.15	6.35	0.65
2012-03-01	100.00	35.08	64.92	16.30	19.43	1.18	28.02	-1.37	26.65	11.22	23.66	0.52	12.32	1.65	20.70	16.11	11.94	-5.43	7.08	3.99	8.24	-21.07	13.49	12.54	?	-17.42	12.16	8.61	?	-18.41	12.76	13.84	?	14.17	14.79	3.13	33.77	1.43	42.96	4.82	4.59	2.53	54.89	8.85	4.16	32.10	100.00	1.76	?	0.19	2.64	3.09	7.68	20.31	11.36	39.35	60.65	100.00	7.15	6.22	1.65	0.33	40.84	109.03	41.29	108.57	8.94	3.35	5.78	0.52
2013-03-01	100.00	33.99	66.01	16.86	21.93	0.44	26.78	-1.56	25.22	10.87	22.48	0.47	10.61	1.60	17.19	13.70	10.93	-3.22	5.75	3.33	6.49	-7.49	10.35	6.48	14.07	-8.03	10.90	5.44	14.52	-8.21	11.54	7.45	17.40	-20.59	-17.23	1.40	28.88	1.28	36.26	4.85	4.26	3.22	48.58	7.73	4.12	39.56	100.00	1.54	?	1.48	4.03	1.13	8.18	19.51	9.66	37.34	62.66	100.00	5.94	5.03	1.60	0.31	37.38	100.54	37.47	100.44	9.77	3.63	5.70	0.47
2014-03-01	100.00	31.20	68.80	15.89	20.67	0.81	31.43	-1.65	29.78	11.15	26.46	0.49	12.91	1.83	22.06	14.91	14.13	9.86	0.18	5.47	5.48	28.96	-1.99	11.76	8.64	29.30	-0.60	10.91	7.60	22.35	-2.87	10.00	9.93	22.60	21.36	1.88	31.90	1.21	48.78	5.32	4.65	2.14	60.89	7.05	3.74	28.33	100.00	2.97	11.22	0.26	2.78	2.41	19.64	19.73	5.98	45.35	54.65	100.00	3.10	2.75	1.83	0.36	38.07	106.87	54.62	90.32	9.59	3.42	6.61	0.49
2015-03-01	100.00	29.82	70.18	14.88	22.11	1.43	31.76	-0.63	31.13	12.41	27.27	0.48	13.05	1.88	24.17	15.67	14.35	-0.22	1.99	5.33	4.21	0.82	6.35	11.81	7.33	2.83	6.94	12.64	7.56	7.31	6.42	12.74	10.45	-1.76	0.15	1.25	32.02	1.17	67.44	5.03	4.72	3.15	80.34	6.15	3.51	10.00	100.00	1.64	11.76	0.40	2.75	3.12	19.67	20.31	6.71	46.68	53.32	100.00	4.09	3.69	1.88	0.38	39.49	119.81	59.17	100.13	9.24	3.05	7.25	0.48
