Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	100.00	23.11	76.89	86.64	64.38	?	-74.13	74.13	?	?	-73.49	0.71	-52.24	1.17	-60.86	-60.86	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	23.31	-47.42	0.65	65.39	11.65	?	1.42	78.46	17.92	3.56	0.07	100.00	1.72	?	?	5.60	4.36	11.69	?	2.46	14.15	85.85	100.00	6.71	6.59	1.17	?	59.85	?	38.20	?	6.10	?	3.97	0.71
2010-12-01	100.00	16.32	83.68	71.16	34.96	?	-22.44	22.44	?	?	-22.23	1.25	-27.86	1.38	-35.13	-35.13	?	74.19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	18.14	-10.73	0.48	57.37	16.59	?	1.71	75.67	20.53	3.70	0.10	100.00	3.12	?	?	8.02	14.80	25.94	?	1.40	27.34	72.66	100.00	2.92	2.85	1.38	?	41.04	?	43.05	?	8.89	?	6.53	1.25
2011-12-01	100.00	16.01	83.99	61.07	21.41	?	1.51	-1.51	?	?	1.67	0.94	1.57	1.15	1.86	1.86	?	116.80	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13.35	9.09	5.45	65.87	4.83	?	2.75	73.46	6.19	7.04	13.31	100.00	1.44	?	?	5.55	5.00	11.99	?	1.26	13.25	86.75	100.00	6.13	5.90	1.15	?	26.58	?	41.95	?	13.73	?	10.87	0.94
2012-12-01	100.00	12.02	87.98	60.24	22.78	?	4.96	0.12	5.08	?	5.08	0.56	2.82	1.09	3.11	3.11	?	76.90	88.34	?	?	481.44	?	?	?	438.93	?	?	?	?	?	?	?	?	?	14.33	13.31	2.62	63.80	2.84	?	0.87	67.51	4.48	24.83	3.18	100.00	1.04	?	?	0.83	4.85	6.72	?	1.15	7.86	92.14	100.00	10.05	9.92	1.09	?	22.32	?	62.89	?	16.35	?	11.20	0.56
2013-12-01	100.00	9.52	90.48	74.51	24.55	?	-8.58	0.19	-8.38	?	-6.30	0.43	-2.73	1.07	-2.94	-2.94	?	69.06	86.47	?	?	?	?	?	?	?	?	?	?	?	?	?	?	-310.00	?	13.15	2.70	-0.43	48.56	2.51	?	0.82	51.89	4.51	20.12	23.48	100.00	0.78	?	?	2.60	2.11	5.49	?	1.13	6.62	93.38	100.00	9.45	9.30	1.07	?	19.03	?	76.47	?	19.18	?	9.63	0.43
2014-12-01	100.00	9.04	90.96	71.57	26.51	6.60	-13.71	0.33	-13.38	?	-13.38	0.52	-6.93	1.10	-7.54	-7.54	?	64.97	70.24	79.49	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	13.58	0.39	-0.03	57.35	2.88	?	1.55	61.77	6.40	18.95	12.88	100.00	1.44	?	?	3.64	2.50	7.57	?	1.81	9.38	90.62	100.00	8.16	7.95	1.10	?	17.15	?	87.23	?	21.28	?	9.45	0.52
