Date	Revenue	COGS	Gross Margin	SG&A	R&D	Other	Operating Margin	Net Int Inc & Other	EBT Margin	Tax Rate %	Net Margin %	Asset Turnover (Average)	Return on Assets %	Financial Leverage (Average)	Return on Equity %	Return on Invested Capital %	Interest Coverage	Revenue % Year over Year	Revenue % 3-Year Average	Revenue % 5-Year Average	Revenue % 10-Year Average	Operating Income % Year over Year	Operating Income % 3-Year Average	Operating Income % 5-Year Average	Operating Income % 10-Year Average	Net Income % Year over Year	Net Income % 3-Year Average	Net Income % 5-Year Average	Net Income % 10-Year Average	EPS % Year over Year	EPS % 3-Year Average	EPS % 5-Year Average	EPS % 10-Year Average	Operating Cash Flow Growth % YOY	Free Cash Flow Growth % YOY	Cap Ex as a % of Sales	Free Cash Flow/Sales %	Free Cash Flow/Net Income	Cash & Short-Term Investments	Accounts Receivable	Inventory	Other Current Assets	Total Current Assets	Net PP&E	Intangibles	Other Long-Term Assets	Total Assets	Accounts Payable	Short-Term Debt	Taxes Payable	Accrued Liabilities	Other Short-Term Liabilities	Total Current Liabilities	Long-Term Debt	Other Long-Term Liabilities	Total Liabilities	Total Stockholders' Equity	Total Liabilities & Equity	Current Ratio	Quick Ratio	Financial Leverage	Debt/Equity	Days Sales Outstanding	Days Inventory	Payables Period	Cash Conversion Cycle	Receivables Turnover	Inventory Turnover	Fixed Assets Turnover	Asset Turnover
2005-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2006-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2007-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2008-12-01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	100.00	?	?	?	?	?	?	?	?	?	?	?	?
2009-12-01	100.00	46.69	53.31	54.75	42.01	?	-43.45	-0.03	-43.48	?	-43.49	0.47	-20.41	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	32.44	124.80	-2.87	77.25	7.13	?	1.44	85.82	13.45	0.40	0.32	100.00	8.31	?	?	?	82.34	90.65	?	17.65	108.30	-8.30	100.00	0.95	0.93	?	?	21.51	?	138.41	?	16.97	?	3.49	0.47
2010-12-01	100.00	29.47	70.53	24.51	25.03	?	21.00	0.27	21.27	28.70	12.80	0.87	11.15	12.62	803.24	803.24	?	391.87	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	70.90	77.11	9.69	44.94	2.96	66.34	10.48	?	4.64	81.45	6.74	9.37	2.44	100.00	3.00	?	?	?	43.79	46.80	?	9.86	56.66	43.34	100.00	1.74	1.64	12.62	?	26.62	?	56.95	?	13.71	?	10.88	0.87
2011-12-01	100.00	28.95	71.05	42.86	63.77	?	-35.58	-0.05	-35.62	?	-35.46	0.63	-22.28	1.44	-44.00	-44.00	?	90.82	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	19.23	-45.14	21.22	12.92	-0.36	71.82	6.13	?	2.47	80.42	9.80	4.92	4.85	100.00	1.75	?	?	?	24.82	26.57	?	3.91	30.48	69.52	100.00	3.03	2.93	1.44	?	34.51	?	42.83	?	10.58	?	7.09	0.63
2012-12-01	100.00	27.49	72.51	28.95	50.39	7.45	-14.28	1.83	-12.45	?	-16.35	0.50	-8.23	1.41	-11.72	-11.10	?	12.38	119.31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	-49.70	?	25.89	-10.61	0.65	49.87	4.34	?	3.40	57.62	18.09	9.42	14.88	100.00	0.90	?	?	1.26	17.59	19.76	3.88	5.50	29.14	70.86	100.00	2.92	2.74	1.41	0.05	34.46	?	34.89	?	10.59	?	3.60	0.50
2013-12-01	100.00	28.44	71.56	30.61	47.29	1.17	-7.52	0.09	-7.43	?	-4.23	0.36	-1.52	1.21	-2.00	-1.95	?	-31.84	13.49	?	?	?	?	?	?	?	?	?	?	?	?	?	?	-85.35	?	0.89	2.39	-0.56	49.38	3.19	?	1.90	54.47	15.30	10.81	19.42	100.00	0.92	?	?	?	11.21	12.13	?	5.50	17.63	82.37	100.00	4.49	4.33	1.21	?	35.94	?	32.53	?	10.15	?	2.14	0.36
2014-12-01	100.00	30.93	69.07	47.08	57.44	?	-35.45	1.67	-33.78	?	-32.72	0.30	-9.76	1.24	-11.97	-11.97	?	-20.94	-15.40	41.56	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.33	-1.99	0.06	39.02	3.96	?	3.13	46.11	12.68	30.55	10.66	100.00	0.64	?	?	3.46	11.62	15.71	?	3.58	19.29	80.71	100.00	2.93	2.74	1.24	?	41.05	?	30.71	?	8.89	?	2.14	0.30
