Date	shares_o
Oct. 16, 2009	6.305B
Dec. 26, 2009	6.344B
Jan. 15, 2010	6.348B
March 27, 2010	6.367B
April 9, 2010	6.370B
June 26, 2010	6.394B
July 9, 2010	6.395B
Sept. 25, 2010	6.412B
Oct. 15, 2010	6.421B
Dec. 25, 2010	6.447B
Jan. 7, 2011	6.449B
March 26, 2011	6.473B
April 8, 2011	6.473B
June 25, 2011	6.488B
July 8, 2011	6.490B
Sept. 24, 2011	6.505B
Oct. 14, 2011	6.506B
Dec. 27, 2011	6.525B
Dec. 31, 2011	6.525B
Jan. 13, 2012	6.527B
March 31, 2012	6.545B
April 13, 2012	6.545B
June 30, 2012	6.561B
July 13, 2012	6.562B
Sept. 29, 2012	6.574B
Oct. 19, 2012	6.585B
Dec. 29, 2012	6.573B
Jan. 11, 2013	6.573B
March 30, 2013	6.581B
April 12, 2013	6.571B
June 29, 2013	6.359B
July 12, 2013	6.359B
Sept. 28, 2013	6.294B
Oct. 18, 2013	6.298B
Dec. 26, 2013	6.248B
Dec. 28, 2013	6.247B
Dec. 30, 2013	6.248B
Jan. 10, 2014	6.244B
March 29, 2014	6.032B
April 11, 2014	6.030B
June 28, 2014	5.989B
July 11, 2014	5.988B
Sept. 27, 2014	5.866B
Oct. 10, 2014	5.865B
Dec. 27, 2014	5.826B
Jan. 9, 2015	5.825B
March 28, 2015	5.762B
April 10, 2015	5.761B
June 27, 2015	5.705B
July 10, 2015	5.703B
