Date	shares_o
July 31, 2009	1.272B
Sept. 30, 2009	1.267B
Oct. 30, 2009	1.268B
Dec. 31, 2009	1.250B
Feb. 22, 2010	1.250B
March 31, 2010	1.243B
April 30, 2010	1.244B
June 30, 2010	1.224B
July 30, 2010	1.224B
Sept. 30, 2010	1.206B
Oct. 29, 2010	1.206B
Dec. 31, 2010	1.183B
Feb. 18, 2011	1.182B
March 31, 2011	1.153B
May 2, 2011	1.144B
June 30, 2011	1.142B
July 29, 2011	1.143B
Sept. 30, 2011	1.143B
Nov. 1, 2011	1.144B
Dec. 31, 2011	1.133B
Feb. 16, 2012	1.123B
March 31, 2012	1.114B
May 1, 2012	1.112B
June 30, 2012	1.111B
July 23, 2012	1.111B
Sept. 30, 2012	1.112B
Oct. 31, 2012	1.113B
Dec. 31, 2012	1.112B
Feb. 15, 2013	1.114B
March 31, 2013	1.117B
May 1, 2013	1.118B
June 30, 2013	1.119B
July 25, 2013	1.119B
Sept. 30, 2013	1.124B
Oct. 11, 2013	695.29M
Oct. 30, 2013	695.43M
Dec. 31, 2013	703.71M
Feb. 24, 2014	712.37M
March 31, 2014	714.77M
April 29, 2014	715.00M
June 30, 2014	716.70M
July 29, 2014	717.48M
Sept. 30, 2014	718.96M
Oct. 28, 2014	719.03M
Dec. 31, 2014	721.93M
Feb. 19, 2015	722.92M
March 31, 2015	725.90M
April 29, 2015	726.19M
June 30, 2015	728.87M
July 28, 2015	729.02M
