Date	shares_o
July 21, 2009	1.290B
Sept. 30, 2009	1.293B
Oct. 14, 2009	1.293B
Dec. 31, 2009	1.298B
Feb. 12, 2010	1.299B
March 31, 2010	1.307B
April 14, 2010	1.307B
June 30, 2010	1.312B
July 15, 2010	1.312B
Sept. 30, 2010	1.304B
Oct. 14, 2010	1.304B
Dec. 31, 2010	1.298B
Jan. 27, 2011	1.298B
March 31, 2011	1.298B
April 25, 2011	1.298B
June 30, 2011	1.288B
July 18, 2011	1.289B
Sept. 30, 2011	1.291B
Oct. 17, 2011	1.291B
Dec. 31, 2011	1.286B
Jan. 23, 2012	1.287B
March 8, 2012	1.290B
March 31, 2012	1.291B
April 16, 2012	1.291B
June 30, 2012	1.288B
July 16, 2012	1.289B
Sept. 30, 2012	1.294B
Oct. 15, 2012	1.294B
Dec. 31, 2012	1.294B
Jan. 28, 2013	1.297B
March 31, 2013	1.295B
April 15, 2013	1.298B
June 30, 2013	1.294B
July 15, 2013	1.295B
Sept. 30, 2013	1.294B
Oct. 14, 2013	1.295B
Dec. 31, 2013	1.294B
Jan. 24, 2014	1.295B
March 31, 2014	1.267B
April 25, 2014	1.267B
June 30, 2014	1.241B
July 11, 2014	1.241B
Sept. 30, 2014	1.242B
Oct. 10, 2014	1.242B
Dec. 31, 2014	1.224B
Feb. 2, 2015	1.210B
March 31, 2015	1.21B
April 20, 2015	1.215B
June 30, 2015	1.218B
July 14, 2015	1.218B
