Date	shares_o
Sept. 30, 2005	2.391B
Dec. 31, 2005	2.384B
Jan. 31, 2006	2.377B
March 31, 2006	2.365B
June 30, 2006	2.298B
Sept. 30, 2006	2.202B
Dec. 31, 2006	2.122B
Jan. 31, 2007	2.108B
March 31, 2007	2.098B
June 30, 2007	2.097B
Sept. 30, 2007	2.098B
Dec. 31, 2007	2.102B
Jan. 31, 2008	2.101B
March 31, 2008	2.067B
June 30, 2008	2.071B
Sept. 30, 2008	2.041B
Jan. 31, 2009	2.012B
March 31, 2009	2.013B
June 30, 2009	2.022B
Sept. 30, 2009	2.040B
Dec. 31, 2009	2.052B
Jan. 31, 2010	2.053B
March 31, 2010	2.056B
June 30, 2010	2.054B
Sept. 30, 2010	2.060B
Dec. 31, 2010	2.069B
Jan. 31, 2011	2.069B
March 31, 2011	2.058B
June 30, 2011	2.065B
Sept. 30, 2011	2.040B
Dec. 31, 2011	2.049B
Jan. 31, 2012	2.053B
March 1, 2012	2.072B
March 31, 2012	2.100B
June 30, 2012	2.099B
Sept. 30, 2012	2.107B
Dec. 31, 2012	2.107B
Jan. 31, 2013	2.104B
March 31, 2013	2.101B
June 30, 2013	2.081B
Sept. 30, 2013	2.058B
Dec. 31, 2013	2.02B
Jan. 31, 2014	2.026B
March 31, 2014	2.047B
June 30, 2014	2.029B
Sept. 30, 2014	2.035B
Dec. 31, 2014	1.985B
Jan. 30, 2015	1.988B
March 31, 2015	1.942B
June 30, 2015	1.925B
