Date	shares_o
May 18, 2012	2.138B
June 1, 2012	2.140B
June 30, 2012	2.142B
July 25, 2012	2.142B
Sept. 30, 2012	2.166B
Oct. 22, 2012	2.166B
Dec. 31, 2012	2.372B
Jan. 29, 2013	2.382B
March 31, 2013	2.411B
April 30, 2013	2.418B
June 30, 2013	2.431B
July 23, 2013	2.435B
Sept. 30, 2013	2.453B
Oct. 29, 2013	2.455B
Nov. 30, 2013	2.458B
Dec. 31, 2013	2.547B
Jan. 28, 2014	2.550B
March 31, 2014	2.564B
April 22, 2014	2.566B
June 30, 2014	2.575B
July 22, 2014	2.600B
Sept. 30, 2014	2.608B
Oct. 27, 2014	2.788B
Dec. 31, 2014	2.778B
Jan. 27, 2015	2.799B
March 31, 2015	2.806B
April 21, 2015	2.808B
June 30, 2015	2.80B
July 27, 2015	2.818B
Sept. 30, 2015	2.814B
Nov. 2, 2015	2.828B
Dec. 31, 2015	2.834B
Jan. 25, 2016	2.846B
March 31, 2016	2.85B
April 25, 2016	2.860B
