Date	shares_o
Sept. 30, 2009	8.90B
Oct. 19, 2009	8.879B
Dec. 31, 2009	8.811B
Jan. 25, 2010	8.770B
March 31, 2010	8.762B
April 19, 2010	8.764B
June 30, 2010	8.668B
July 20, 2010	8.654B
Sept. 30, 2010	8.562B
Oct. 22, 2010	8.556B
Dec. 31, 2010	8.403B
Jan. 21, 2011	8.402B
March 31, 2011	8.431B
April 21, 2011	8.433B
June 30, 2011	8.376B
July 20, 2011	8.378B
Sept. 30, 2011	8.41B
Oct. 17, 2011	8.412B
Dec. 31, 2011	8.382B
Jan. 17, 2012	8.391B
March 31, 2012	8.40B
April 17, 2012	8.401B
June 30, 2012	8.381B
July 18, 2012	8.383B
Sept. 24, 2012	8.431B
Sept. 30, 2012	8.422B
Oct. 15, 2012	8.416B
Dec. 31, 2012	8.374B
Jan. 18, 2013	8.376B
March 31, 2013	8.349B
April 11, 2013	8.351B
June 30, 2013	8.328B
July 18, 2013	8.330B
Sept. 13, 2013	8.361B
Sept. 30, 2013	8.346B
Oct. 16, 2013	8.348B
Dec. 31, 2013	8.30B
Jan. 17, 2014	8.301B
March 31, 2014	8.26B
April 17, 2014	8.260B
June 30, 2014	8.239B
July 22, 2014	8.240B
Sept. 30, 2014	8.255B
Oct. 16, 2014	8.243B
Dec. 31, 2014	8.218B
Jan. 22, 2015	8.204B
March 31, 2015	8.113B
April 16, 2015	8.090B
June 30, 2015	8.027B
July 27, 2015	7.998B
