Date	shares_o
June 30, 2009	394.95M
July 31, 2009	396.36M
Sept. 30, 2009	399.80M
Oct. 29, 2009	401.61M
Dec. 31, 2009	402.78M
Feb. 18, 2010	405.96M
March 31, 2010	407.30M
April 30, 2010	408.28M
June 30, 2010	410.27M
July 30, 2010	411.81M
Sept. 30, 2010	414.23M
Oct. 22, 2010	414.40M
Dec. 31, 2010	416.70M
Feb. 18, 2011	418.27M
March 31, 2011	418.07M
April 22, 2011	419.49M
June 30, 2011	421.59M
July 22, 2011	422.30M
Sept. 30, 2011	422.08M
Oct. 21, 2011	422.18M
Dec. 31, 2011	423.61M
Feb. 17, 2012	425.09M
March 31, 2012	426.85M
April 25, 2012	427.25M
June 30, 2012	427.26M
July 26, 2012	426.47M
Sept. 30, 2012	428.34M
Oct. 25, 2012	427.76M
Dec. 31, 2012	428.69M
Feb. 13, 2013	428.35M
March 31, 2013	428.38M
April 26, 2013	428.18M
June 30, 2013	429.90M
July 26, 2013	429.52M
Sept. 30, 2013	431.00M
Oct. 24, 2013	430.37M
Dec. 31, 2013	430.35M
Feb. 13, 2014	430.78M
March 31, 2014	430.88M
April 25, 2014	430.52M
June 30, 2014	429.98M
July 28, 2014	430.11M
Sept. 30, 2014	431.10M
Oct. 31, 2014	430.48M
Dec. 31, 2014	429.36M
Feb. 20, 2015	427.62M
March 31, 2015	425.56M
April 28, 2015	423.86M
June 30, 2015	422.92M
July 29, 2015	422.07M
