Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,5801062.0,2742391.0,2.11533
2015-06-30,5404986.0,2753523.0,1.962935
2015-06-15,5289595.0,2248455.0,2.352547
2015-05-29,4699579.0,2511047.0,1.871562
2015-05-15,5638148.0,2671952.0,2.110123
2015-04-30,6373040.0,5550925.0,1.148104
2015-04-15,6601290.0,2335252.0,2.8268
2015-03-31,5981195.0,2540894.0,2.353973
2015-03-13,6608285.0,2501819.0,2.641392
2015-02-27,7193339.0,2781149.0,2.586463
2015-02-13,8682223.0,4192912.0,2.07069
2015-01-30,7374279.0,6818916.0,1.081444
2015-01-15,7529048.0,3492017.0,2.156074
2014-12-31,7334863.0,4152545.0,1.766354
2014-12-15,7672680.0,3747498.0,2.047414
2014-11-28,8002638.0,3319884.0,2.410517
2014-11-14,7943256.0,3911508.0,2.03074
2014-10-31,7840519.0,6086587.0,1.288163
2014-10-15,7156400.0,3471510.0,2.061466
2014-09-30,7050140.0,3285455.0,2.145864
2014-09-15,7782645.0,3197267.0,2.434155
2014-08-29,8055719.0,2297464.0,3.506353
2014-08-15,7636132.0,3554982.0,2.148009
2014-07-31,7533400.0,5112778.0,1.473446
2014-07-15,7561714.0,3814553.0,1.982333
2014-06-30,7379269.0,3523768.0,2.094142
2014-06-13,7409546.0,3811119.0,1.944192
2014-05-30,6777060.0,3345991.0,2.025427
2014-05-15,6813633.0,4124672.0,1.651921
2014-04-30,6612302.0,6949222.0,1.0
2014-04-15,5704249.0,6260395.0,1.0
2014-03-31,6171371.0,3903740.0,1.580887
2014-03-14,5913704.0,3242672.0,1.823713
2014-02-28,5749329.0,3877808.0,1.482623
2014-02-14,6622809.0,4822369.0,1.373352
2014-01-31,5585323.0,5174944.0,1.079301
2014-01-15,6053068.0,2417676.0,2.503672
2013-12-31,6246966.0,2517130.0,2.481781
2013-12-13,6722660.0,2852588.0,2.356688
2013-11-29,7123343.0,2557712.0,2.785045
2013-11-15,6190049.0,3144050.0,1.968814
2013-10-31,6997525.0,4484298.0,1.56045
2013-10-15,6951846.0,2592424.0,2.681601
2013-09-30,8072067.0,2513406.0,3.211605
2013-09-13,6833813.0,2084029.0,3.279135
2013-08-30,6249058.0,1980664.0,3.155032
2013-08-15,6364686.0,2236690.0,2.845583
2013-07-31,7516236.0,3473930.0,2.163612
2013-07-15,7439728.0,2959034.0,2.514242
2013-06-28,7153803.0,3187516.0,2.244319
2013-06-14,7554883.0,3066604.0,2.463599
2013-05-31,7286786.0,2509611.0,2.903552
2013-05-15,7106634.0,3212157.0,2.212418
2013-04-30,6168077.0,4725157.0,1.30537
2013-04-15,6530965.0,2753218.0,2.372121
2013-03-28,7132443.0,3002906.0,2.37518
2013-03-15,7497355.0,3204736.0,2.339461
2013-02-28,7345739.0,3310628.0,2.218836
2013-02-15,7013742.0,4152748.0,1.68894
2013-01-31,7406427.0,5166952.0,1.433423
2013-01-15,7155147.0,3178510.0,2.251101
2012-12-31,7330454.0,3259445.0,2.248988
2012-12-14,8964334.0,2962841.0,3.025587
2012-11-30,8695328.0,3325150.0,2.615018
2012-11-15,8371479.0,2876150.0,2.910655
2012-10-31,8530047.0,5263736.0,1.620531
2012-10-15,8465134.0,2978633.0,2.841953
2012-09-28,8544461.0,3360284.0,2.542779
2012-09-14,8689082.0,3709505.0,2.342383
2012-08-31,8713704.0,3058748.0,2.848781
2012-08-15,8080276.0,2416385.0,3.343952
2012-07-31,7553724.0,4823353.0,1.566073
2012-07-13,8019908.0,2589388.0,3.097221
2012-06-29,8151989.0,3066375.0,2.65851
2012-06-15,9071172.0,3522993.0,2.574848
