Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-31,45209143.0,4705825.0,9.60706
2015-07-15,44647287.0,6933904.0,6.438983
2015-06-30,44229065.0,6404472.0,6.905966
2015-06-15,15780734.0,6573263.0,2.400746
2015-05-29,14734974.0,4304789.0,3.422926
2015-05-15,18032991.0,6580090.0,2.740539
2015-04-30,19250649.0,4294758.0,4.482359
2015-04-15,18226550.0,3674546.0,4.960218
2015-03-31,19399493.0,4827353.0,4.018661
2015-03-13,19248390.0,5450314.0,3.531611
2015-02-27,21052824.0,5516582.0,3.81628
2015-02-13,22016736.0,8542583.0,2.577293
2015-01-30,26418717.0,8766500.0,3.013599
2015-01-15,24830140.0,8764233.0,2.833122
2014-12-31,23046300.0,5511942.0,4.181158
2014-12-15,23382385.0,6826004.0,3.425487
2014-11-28,23997026.0,9733073.0,2.465514
2014-11-14,21072969.0,11763161.0,1.791438
2014-10-31,14491703.0,9434105.0,1.536097
2014-10-15,22615734.0,9373817.0,2.412649
2014-09-30,14985591.0,7875137.0,1.902899
2014-09-15,14318075.0,7836054.0,1.827205
2014-08-29,15064382.0,4335212.0,3.474889
2014-08-15,16560050.0,6456481.0,2.564872
2014-07-31,16977967.0,5614189.0,3.024117
2014-07-15,17355697.0,4650759.0,3.731799
2014-06-30,16434146.0,8173861.0,2.010573
2014-06-13,16533490.0,6788763.0,2.43542
2014-05-30,16738433.0,8244238.0,2.030319
2014-05-15,17889264.0,7287826.0,2.454678
2014-04-30,15606129.0,4001249.0,3.900314
2014-04-15,15876415.0,5989759.0,2.650593
2014-03-31,14063375.0,5495815.0,2.558924
2014-03-14,14603360.0,6879441.0,2.122754
2014-02-28,15860118.0,5697538.0,2.783679
2014-02-14,21781612.0,10600538.0,2.054765
2014-01-31,19483736.0,8069211.0,2.414578
2014-01-15,12564332.0,6027172.0,2.084615
2013-12-31,14053944.0,6326872.0,2.22131
2013-12-13,14494025.0,5944938.0,2.438045
