Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,14477997.0,13265548.0,1.091398
2015-06-30,13778307.0,7242505.0,1.902423
2015-06-15,16877503.0,9075277.0,1.859723
2015-05-29,15859781.0,6191933.0,2.561362
2015-05-15,16839180.0,5919057.0,2.844909
2015-04-30,16391124.0,8619803.0,1.901566
2015-04-15,15223180.0,5562631.0,2.736687
2015-03-31,17804468.0,9741780.0,1.82764
2015-03-13,24567323.0,9348413.0,2.627967
2015-02-27,23132792.0,6775766.0,3.414048
2015-02-13,25645559.0,6890286.0,3.721988
2015-01-30,14961145.0,12271005.0,1.219227
2015-01-15,16891905.0,8229265.0,2.052663
2014-12-31,19024782.0,8048212.0,2.363852
2014-12-15,17262801.0,10108649.0,1.707726
2014-11-28,19446243.0,6126210.0,3.17427
2014-11-14,19556587.0,6803409.0,2.874528
2014-10-31,20490578.0,12246403.0,1.673192
2014-10-15,19159712.0,12514097.0,1.53105
2014-09-30,20532717.0,16979667.0,1.209253
2014-09-15,23211333.0,18099109.0,1.282457
2014-08-29,21004743.0,12836748.0,1.636298
2014-08-15,19917849.0,10725391.0,1.857074
2014-07-31,22939905.0,12748191.0,1.799464
2014-07-15,22921030.0,9256282.0,2.476267
2014-06-30,21795310.0,10526533.0,2.070512
2014-06-13,18831587.0,15251006.0,1.234777
2014-05-30,19277798.0,13166502.0,1.464155
2014-05-15,16539980.0,13338538.0,1.240014
2014-04-30,14998349.0,10830295.0,1.384851
2014-04-15,18039453.0,14180732.0,1.27211
2014-03-31,19308919.0,8264036.0,2.3365
2014-03-14,20404854.0,10105977.0,2.019088
2014-02-28,17155861.0,13755222.0,1.247225
2014-02-14,24526167.0,12411371.0,1.976105
2014-01-31,27100060.0,22887500.0,1.184055
2014-01-15,17418473.0,13932851.0,1.250173
2013-12-31,20351802.0,10532025.0,1.932373
2013-12-13,21477961.0,11517693.0,1.86478
2013-11-29,22040597.0,18866686.0,1.168228
2013-11-15,19103999.0,11341090.0,1.684494
2013-10-31,17043945.0,15238001.0,1.118516
2013-10-15,14992834.0,7447071.0,2.013252
2013-09-30,15643095.0,8826361.0,1.772315
2013-09-13,15066206.0,8667306.0,1.73828
2013-08-30,15080072.0,8737699.0,1.725863
2013-08-15,15920740.0,8024019.0,1.984135
2013-07-31,14246649.0,14585980.0,1.0
2013-07-15,15634066.0,7150809.0,2.186335
2013-06-28,15756415.0,10474825.0,1.504217
2013-06-14,15055045.0,11315509.0,1.330479
2013-05-31,14082872.0,10185281.0,1.382669
2013-05-15,14061032.0,8232911.0,1.707905
2013-04-30,11869255.0,12779940.0,1.0
2013-04-15,15349458.0,9895163.0,1.551208
2013-03-28,12474509.0,14764689.0,1.0
2013-03-15,9928200.0,13481377.0,1.0
2013-02-28,10891751.0,7818321.0,1.393106
2013-02-15,12382958.0,8019013.0,1.5442
2013-01-31,9237633.0,12203550.0,1.0
2013-01-15,10198013.0,10155533.0,1.004183
2012-12-31,10107555.0,9034841.0,1.118731
2012-12-14,13811878.0,8529982.0,1.619215
2012-11-30,15014004.0,10367820.0,1.448135
2012-11-15,12775501.0,7972538.0,1.602438
2012-10-31,12128353.0,14875831.0,1.0
2012-10-15,10934172.0,9985175.0,1.095041
2012-09-28,11677205.0,9763606.0,1.195993
2012-09-14,10824972.0,11402382.0,1.0
2012-08-31,11193393.0,10222440.0,1.094983
2012-08-15,12231470.0,9235587.0,1.324385
2012-07-31,14934677.0,16031036.0,1.0
2012-07-13,15934513.0,9014948.0,1.767566
2012-06-29,18532872.0,14995308.0,1.235911
2012-06-15,21113020.0,12852896.0,1.642666
