Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,24691368.0,14280358.0,1.729044
2015-06-30,23799981.0,12830430.0,1.854964
2015-06-15,24353486.0,12573895.0,1.936829
2015-05-29,29108394.0,13845199.0,2.102418
2015-05-15,27916427.0,11678844.0,2.390342
2015-04-30,24432162.0,17579345.0,1.389822
2015-04-15,28457671.0,17770763.0,1.601376
2015-03-31,29766328.0,16070932.0,1.852184
2015-03-13,26294561.0,19692173.0,1.33528
2015-02-27,27392171.0,11612660.0,2.35882
2015-02-13,29517322.0,14278128.0,2.06731
2015-01-30,22710410.0,17464855.0,1.300349
2015-01-15,23268184.0,13232605.0,1.758398
2014-12-31,26391819.0,14163779.0,1.863332
2014-12-15,20184577.0,11074442.0,1.822627
2014-11-28,19950193.0,11899203.0,1.676599
2014-11-14,21523508.0,10960074.0,1.96381
2014-10-31,23020036.0,15563398.0,1.479114
2014-10-15,22196785.0,16149228.0,1.37448
2014-09-30,22421475.0,21241258.0,1.055562
2014-09-15,25744877.0,14351087.0,1.793932
2014-08-29,28296209.0,8811078.0,3.211436
2014-08-15,32487229.0,14863194.0,2.18575
2014-07-31,38115425.0,24964568.0,1.526781
2014-07-15,38574961.0,13085952.0,2.947815
2014-06-30,37186641.0,14804985.0,2.511765
2014-06-13,33670176.0,10686809.0,3.15063
2014-05-30,34011090.0,11716049.0,2.902949
2014-05-15,37999309.0,13856197.0,2.742405
2014-04-30,38352854.0,23957724.0,1.600855
2014-04-15,37924647.0,16642795.0,2.278743
2014-03-31,53659341.0,20457937.0,2.622911
2014-03-14,68120960.0,22860556.0,2.979847
2014-02-28,117916987.0,20692449.0,5.698552
2014-02-14,150651166.0,24441033.0,6.163862
2014-01-31,138811206.0,30420207.0,4.563125
2014-01-15,143582377.0,21112376.0,6.800863
2013-12-31,117328111.0,26089776.0,4.497092
2013-12-13,91079786.0,22433649.0,4.059963
