Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,23489003.0,25831340.0,1.0
2015-06-30,27458834.0,29846323.0,1.0
2015-06-15,25505592.0,19058942.0,1.338248
2015-05-29,23541193.0,17132827.0,1.37404
2015-05-15,26114863.0,24334317.0,1.07317
2015-04-30,31541740.0,31594724.0,1.0
2015-04-15,29295234.0,19458396.0,1.505532
2015-03-31,34019087.0,29812771.0,1.141091
2015-03-13,33187033.0,21761391.0,1.525042
2015-02-27,28854444.0,29018769.0,1.0
2015-02-13,30900266.0,19299525.0,1.601089
2015-01-30,32511856.0,30290004.0,1.073353
2015-01-15,29791153.0,24373150.0,1.222294
2014-12-31,31905982.0,23316069.0,1.368412
2014-12-15,34842204.0,25355728.0,1.374135
2014-11-28,34210393.0,24460863.0,1.398577
2014-11-14,35560953.0,27089699.0,1.312711
2014-10-31,43824108.0,53735623.0,1.0
2014-10-15,38065051.0,39941149.0,1.0
2014-09-30,42885436.0,36539541.0,1.173672
2014-09-15,37118685.0,31917855.0,1.162944
2014-08-29,36071346.0,24281100.0,1.485573
2014-08-15,35303147.0,31639979.0,1.115777
2014-07-31,37776463.0,51144772.0,1.0
2014-07-15,38899205.0,41612553.0,1.0
2014-06-30,41081656.0,39366321.0,1.043574
2014-06-13,45336583.0,43087747.0,1.052192
2014-05-30,44556753.0,48822843.0,1.0
2014-05-15,46127937.0,57496974.0,1.0
2014-04-30,46560111.0,87521794.0,1.0
2014-04-15,45437262.0,91847827.0,1.0
2014-03-31,41167893.0,66037028.0,1.0
2014-03-14,38801069.0,53045269.0,1.0
2014-02-28,37701633.0,67034227.0,1.0
2014-02-14,39927924.0,51296341.0,1.0
2014-01-31,34175129.0,67809086.0,1.0
2014-01-15,43981885.0,55168075.0,1.0
2013-12-31,41708837.0,85170135.0,1.0
2013-12-13,31988320.0,57428223.0,1.0
2013-11-29,41052399.0,58212820.0,1.0
2013-11-15,44345339.0,75718725.0,1.0
2013-10-31,31899951.0,88855761.0,1.0
2013-10-15,30924041.0,87771509.0,1.0
2013-09-30,40012513.0,90942118.0,1.0
2013-09-13,27048557.0,64587910.0,1.0
2013-08-30,23511417.0,60411841.0,1.0
2013-08-15,36142020.0,61525611.0,1.0
2013-07-31,36541970.0,101195517.0,1.0
2013-07-15,39754124.0,21887346.0,1.816306
2013-06-28,36117437.0,41707324.0,1.0
2013-06-14,35998845.0,37023355.0,1.0
2013-05-31,33867105.0,44027711.0,1.0
2013-05-15,27897240.0,44975686.0,1.0
2013-04-30,29629840.0,27120485.0,1.092526
2013-04-15,35338011.0,39788688.0,1.0
2013-03-28,38990404.0,31685412.0,1.230547
2013-03-15,32235485.0,39993643.0,1.0
2013-02-28,28492068.0,46292214.0,1.0
2013-02-15,25392181.0,53251976.0,1.0
2013-01-31,20540598.0,70742962.0,1.0
2013-01-15,25470575.0,89690457.0,1.0
2012-12-31,26392950.0,49138849.0,1.0
2012-12-14,55158535.0,69448320.0,1.0
2012-11-30,56892233.0,82315962.0,1.0
2012-11-15,95301361.0,62105481.0,1.534508
2012-10-31,87988874.0,74059902.0,1.188077
2012-10-15,73385252.0,32630000.0,2.249012
2012-09-28,77992874.0,53146893.0,1.467496
2012-09-14,87560446.0,58118623.0,1.506582
2012-08-31,85350481.0,59995689.0,1.42261
2012-08-15,87984040.0,38986997.0,2.256753
2012-07-31,61325822.0,34175438.0,1.794441
2012-07-13,56718300.0,12078975.0,4.695622
2012-06-29,60154699.0,30126041.0,1.996767
2012-06-15,45249272.0,33289209.0,1.359277
