Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,10607486.0,4231734.0,2.506652
2015-06-30,11222401.0,5208301.0,2.154714
2015-06-15,9969945.0,6945787.0,1.435395
2015-05-29,11322161.0,5070827.0,2.232804
2015-05-15,13048836.0,2947989.0,4.426352
2015-04-30,18711206.0,6318954.0,2.961124
2015-04-15,19279092.0,4526540.0,4.259123
2015-03-31,18395636.0,4586459.0,4.010858
2015-03-13,16391934.0,5164401.0,3.174024
2015-02-27,17942127.0,7867287.0,2.280599
2015-02-13,19279952.0,8325109.0,2.31588
2015-01-30,15110037.0,5127590.0,2.946811
2015-01-15,14294266.0,6456087.0,2.214076
2014-12-31,14790365.0,7563792.0,1.955417
2014-12-15,12755375.0,6628044.0,1.924455
2014-11-28,10558122.0,11114196.0,1.0
2014-11-14,11197366.0,7829650.0,1.430123
2014-10-31,9613179.0,8236077.0,1.167204
2014-10-15,8178825.0,13037802.0,1.0
2014-09-30,8375861.0,12416768.0,1.0
2014-09-15,8457018.0,10566616.0,1.0
2014-08-29,6291206.0,4463911.0,1.409348
2014-08-15,6972675.0,3773523.0,1.847789
2014-07-31,6270903.0,7153477.0,1.0
2014-07-15,5332385.0,16534107.0,1.0
2014-06-30,2990.0,10590724.0,1.0
