Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-31,56527741.0,36729643.0,1.539022
2015-07-15,58358241.0,28493200.0,2.048146
2015-06-30,67317846.0,33987278.0,1.980678
2015-06-15,69748378.0,26461352.0,2.635858
2015-05-29,68367249.0,26513285.0,2.578603
2015-05-15,79759062.0,35866980.0,2.223746
2015-04-30,87467239.0,51985297.0,1.682538
2015-04-15,72225538.0,30275143.0,2.385638
2015-03-31,79737012.0,37832432.0,2.107636
2015-03-13,67679127.0,37034541.0,1.82746
2015-02-27,67135606.0,29832772.0,2.250398
2015-02-13,61567265.0,35335175.0,1.742379
2015-01-30,54890240.0,61085439.0,1.0
2015-01-15,60929896.0,30824391.0,1.976678
2014-12-31,62011124.0,28725883.0,2.15872
2014-12-15,58708012.0,28431030.0,2.064927
2014-11-28,67099529.0,28558831.0,2.349519
2014-11-14,87933746.0,26598079.0,3.306019
2014-10-31,84493525.0,38039095.0,2.221229
2014-10-15,88632941.0,36079410.0,2.456607
2014-09-30,100343740.0,47486687.0,2.113092
2014-09-15,76826619.0,33859544.0,2.26898
2014-08-29,81010195.0,21272864.0,3.808147
2014-08-15,86181905.0,27385733.0,3.146964
2014-07-31,89401631.0,41699425.0,2.143954
2014-07-15,88093640.0,23238906.0,3.790783
2014-06-30,92223934.0,30587666.0,3.015069
2014-06-13,82583853.0,22017065.0,3.750902
2014-05-30,77254371.0,24274737.0,3.182501
2014-05-15,79466801.0,30177887.0,2.633279
2014-04-30,78616342.0,35616841.0,2.20728
2014-04-15,90644190.0,35454509.0,2.556634
2014-03-31,90952302.0,47044379.0,1.93333
2014-03-14,81013134.0,26152713.0,3.097695
2014-02-28,79457669.0,34155218.0,2.32637
2014-02-14,89406761.0,41086899.0,2.176041
2014-01-31,74689653.0,47173403.0,1.5833
2014-01-15,69611586.0,40667220.0,1.711737
2013-12-31,72762147.0,30875521.0,2.356629
2013-12-13,75298141.0,48018328.0,1.568113
2013-11-29,73107369.0,32520167.0,2.248063
2013-11-15,77712475.0,45804690.0,1.696605
2013-10-31,64755472.0,45517977.0,1.422635
2013-10-15,68265000.0,37916935.0,1.800383
2013-09-30,66841334.0,52568655.0,1.271506
2013-09-13,62836412.0,73149904.0,1.0
2013-08-30,63628445.0,57969805.0,1.097614
2013-08-15,57777055.0,36970429.0,1.562791
2013-07-31,63975420.0,65408458.0,1.0
2013-07-15,84868193.0,31869924.0,2.662956
2013-06-28,78143910.0,48963023.0,1.595978
2013-06-14,94805218.0,44979101.0,2.107762
2013-05-31,102803075.0,51347973.0,2.002086
2013-05-15,95049221.0,45594458.0,2.084666
2013-04-30,99422937.0,76012510.0,1.307981
2013-04-15,118710358.0,56138043.0,2.114615
2013-03-28,107984349.0,39519769.0,2.732413
2013-03-15,107817098.0,43779557.0,2.462727
2013-02-28,97885936.0,41297496.0,2.370263
2013-02-15,83582893.0,40299970.0,2.074019
2013-01-31,80093007.0,57464358.0,1.393786
2013-01-15,74584075.0,50423390.0,1.479156
2012-12-31,87341701.0,45843008.0,1.905235
2012-12-14,92489588.0,48048297.0,1.92493
2012-11-30,107815279.0,62003931.0,1.738846
2012-11-15,109765437.0,60868842.0,1.803311
2012-10-31,99166275.0,61975168.0,1.600097
2012-10-15,92672399.0,44089730.0,2.101904
2012-09-28,101873633.0,52389503.0,1.944543
2012-09-14,85907190.0,40765957.0,2.107327
2012-08-31,87804867.0,28877812.0,3.040565
2012-08-15,83050270.0,29310179.0,2.833496
2012-07-31,83093413.0,42929131.0,1.935595
2012-07-13,92693490.0,36263216.0,2.55613
2012-06-29,94142117.0,47650271.0,1.975689
2012-06-15,100771562.0,44673254.0,2.255747
