Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2016-01-15,52029574.0,22864768.0,2.275535
2015-12-31,48050520.0,10604171.0,4.531285
2015-12-15,50741607.0,18488250.0,2.744533
2015-11-30,51480025.0,17904930.0,2.875187
2015-11-13,46034111.0,14127475.0,3.258481
2015-10-30,44538492.0,16004848.0,2.782813
2015-10-15,42592512.0,24584370.0,1.732504
2015-09-30,41464312.0,19307077.0,2.147622
2015-09-15,41265347.0,28533425.0,1.446211
2015-08-31,35961581.0,27095438.0,1.327219
2015-08-14,30588170.0,17170408.0,1.781447
2015-07-31,28407941.0,17680628.0,1.606727
2015-07-15,26761571.0,19433862.0,1.377059
2015-06-30,29294461.0,25239445.0,1.160662
2015-06-15,32268488.0,17422216.0,1.852146
2015-05-29,27690495.0,11954733.0,2.316279
2015-05-15,32621491.0,15678026.0,2.080714
2015-04-30,42778967.0,26318208.0,1.625451
2015-04-15,5309394.0,3128473.0,1.69712
2015-03-31,4969081.0,2268665.0,2.190311
2015-03-13,5357740.0,1961674.0,2.731208
2015-02-27,5015594.0,1360119.0,3.687614
2015-02-13,5746121.0,1772026.0,3.242684
2015-01-30,6048877.0,4085910.0,1.480423
2015-01-15,5177152.0,2002031.0,2.58595
2014-12-31,5088795.0,1593414.0,3.193643
2014-12-15,5997113.0,1864047.0,3.217254
2014-11-28,6002352.0,2185784.0,2.746087
2014-11-14,6334019.0,1699257.0,3.727523
2014-10-31,6223245.0,4307069.0,1.444891
2014-10-15,6158159.0,2882568.0,2.136345
2014-09-30,5948257.0,1831626.0,3.247528
2014-09-15,6196136.0,1820769.0,3.403032
2014-08-29,6717552.0,1622951.0,4.139097
2014-08-15,5675388.0,2090805.0,2.714451
2014-07-31,5767138.0,2717719.0,2.122051
2014-07-15,5793042.0,2884252.0,2.008508
2014-06-30,5340834.0,2315739.0,2.306319
2014-06-13,5312105.0,2496073.0,2.128185
2014-05-30,5246072.0,3845225.0,1.364308
2014-05-15,5647875.0,3333161.0,1.69445
2014-04-30,5440205.0,5126766.0,1.061138
2014-04-15,4105862.0,3767939.0,1.089684
2014-03-31,3909186.0,3283188.0,1.190668
2014-03-14,4652826.0,1786805.0,2.603992
2014-02-28,4819062.0,2270766.0,2.122219
2014-02-14,5386879.0,2500496.0,2.154324
2014-01-31,5222616.0,5003054.0,1.043886
2014-01-15,5276544.0,3070266.0,1.718595
2013-12-31,5564359.0,2043106.0,2.72348
2013-12-13,6108440.0,2266598.0,2.694982
2013-11-29,6557163.0,2327912.0,2.816757
2013-11-15,5753256.0,2769002.0,2.077736
2013-10-31,5882403.0,6600479.0,1.0
2013-10-15,6347909.0,4210683.0,1.507572
2013-09-30,6956792.0,2630326.0,2.64484
2013-09-13,8231057.0,3226817.0,2.550829
2013-08-30,7810013.0,3121095.0,2.502331
2013-08-15,7189084.0,2556702.0,2.811858
2013-07-31,6826042.0,4038321.0,1.690317
2013-07-15,7587773.0,3279720.0,2.313543
2013-06-28,7206622.0,3219957.0,2.238111
2013-06-14,8564575.0,2937631.0,2.91547
2013-05-31,8576470.0,3360816.0,2.551901
2013-05-15,9362340.0,3892737.0,2.405079
2013-04-30,10371036.0,6011043.0,1.725331
2013-04-15,8185777.0,5499236.0,1.48853
2013-03-28,7492552.0,3362345.0,2.228371
2013-03-15,8468258.0,4266270.0,1.984933
2013-02-28,8419640.0,5305620.0,1.586929
2013-02-15,8071154.0,6267978.0,1.287681
2013-01-31,9715432.0,9798653.0,1.0
2013-01-15,10117386.0,3676488.0,2.751916
2012-12-31,13162486.0,2829351.0,4.652122
2012-12-14,14136851.0,5676689.0,2.490334
2012-11-30,14502784.0,2181284.0,6.648737
2012-11-15,15175095.0,4201869.0,3.611511
2012-10-31,17206784.0,8069342.0,2.132365
2012-10-15,16205066.0,7303803.0,2.218716
2012-09-28,15567656.0,4471664.0,3.481401
2012-09-14,15555831.0,5293381.0,2.938733
2012-08-31,15448766.0,3224462.0,4.791114
2012-08-15,14309480.0,4441234.0,3.22196
2012-07-31,15425957.0,6770710.0,2.278337
2012-07-13,12476644.0,6976891.0,1.788281
2012-06-29,12703035.0,3060726.0,4.150334
2012-06-15,14128657.0,3856603.0,3.663498
