Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,26297539.0,19264609.0,1.36507
2015-06-30,22802015.0,24553310.0,1.0
2015-06-15,25172493.0,20509749.0,1.227343
2015-05-29,24935718.0,16798505.0,1.484401
2015-05-15,28117185.0,20184726.0,1.392993
2015-04-30,22876630.0,32435569.0,1.0
2015-04-15,26536799.0,18059151.0,1.469438
2015-03-31,28725367.0,20093464.0,1.429588
2015-03-13,25943065.0,13829457.0,1.875928
2015-02-27,26525941.0,15967316.0,1.661265
2015-02-13,32290227.0,36747232.0,1.0
2015-01-30,31280642.0,16911090.0,1.849712
2015-01-15,34324212.0,21191178.0,1.619741
2014-12-31,37396642.0,15834232.0,2.361759
2014-12-15,33382400.0,17493008.0,1.908328
2014-11-28,30477071.0,16705981.0,1.824321
2014-11-14,27195466.0,29602188.0,1.0
2014-10-31,28881467.0,33120360.0,1.0
2014-10-15,23841833.0,30556529.0,1.0
2014-09-30,25786651.0,21146526.0,1.219427
2014-09-15,24570198.0,30073126.0,1.0
2014-08-29,21579104.0,20560178.0,1.049558
2014-08-15,21606094.0,22942097.0,1.0
2014-07-31,31283622.0,33509128.0,1.0
2014-07-15,33866845.0,26643384.0,1.271116
2014-06-30,34058149.0,30816973.0,1.105175
2014-06-13,28336170.0,31754630.0,1.0
2014-05-30,26070989.0,31266463.0,1.0
2014-05-15,41082382.0,38827438.0,1.058076
2014-04-30,50098350.0,15312281.0,3.271776
2014-04-15,46744485.0,12379471.0,3.775968
2014-03-31,45761225.0,10541099.0,4.34122
2014-03-14,41957543.0,7903247.0,5.308899
2014-02-28,40569308.0,11226781.0,3.613619
2014-02-14,44778802.0,25042629.0,1.788103
2014-01-31,33822823.0,15016214.0,2.25242
2014-01-15,32689937.0,25996437.0,1.257478
2013-12-31,29379279.0,36546466.0,1.0
2013-12-13,23672286.0,17349957.0,1.3644
