Settlement Date,Short Interest,Avg Daily Share Volume,Days to Cover
2015-07-15,9270943.0,1200192.0,7.72455
2015-06-30,8889239.0,1001693.0,8.874215
2015-06-15,8936196.0,1186043.0,7.534462
2015-05-29,8918736.0,971754.0,9.177977
2015-05-15,9200510.0,1205717.0,7.630738
2015-04-30,9533825.0,2139248.0,4.456624
2015-04-15,9529191.0,1551443.0,6.142147
2015-03-31,8072491.0,1197985.0,6.738391
2015-03-13,8922691.0,1455704.0,6.129468
2015-02-27,8633467.0,1251371.0,6.899207
2015-02-13,8833886.0,2299221.0,3.842121
2015-01-30,11058409.0,3290062.0,3.361155
2015-01-15,10975198.0,1771787.0,6.194423
2014-12-31,11175799.0,1413044.0,7.909024
2014-12-15,11683738.0,1560521.0,7.487075
2014-11-28,11910888.0,1606282.0,7.415191
2014-11-14,12005734.0,1816768.0,6.608292
2014-10-31,12728410.0,2976003.0,4.277015
2014-10-15,19526448.0,1441027.0,13.550369
2014-09-30,21057248.0,1603519.0,13.131898
2014-09-15,18545128.0,1859563.0,9.972842
2014-08-29,18664090.0,1586665.0,11.763094
2014-08-15,19736558.0,1350146.0,14.618092
2014-07-31,20728526.0,2293334.0,9.038599
2014-07-15,18971969.0,1026832.0,18.476215
2014-06-30,17402398.0,1366752.0,12.732667
2014-06-13,17464868.0,898453.0,19.438822
2014-05-30,16747303.0,1235743.0,13.552416
2014-05-15,16688318.0,1296038.0,12.876411
2014-04-30,16837266.0,3056568.0,5.508553
2014-04-15,17477203.0,2393389.0,7.302283
2014-03-31,18457280.0,2366252.0,7.800217
2014-03-14,18184512.0,2468860.0,7.36555
2014-02-28,17392651.0,1792924.0,9.700718
2014-02-14,16503654.0,2438285.0,6.76855
2014-01-31,13839045.0,3281068.0,4.217848
2014-01-15,12851202.0,1845891.0,6.962059
2013-12-31,12248424.0,1651072.0,7.418468
2013-12-13,14288861.0,2330339.0,6.131666
